,user,repo,star,link
0,tiangolo,fastapi,62900,https://github.com/tiangolo/fastapi
1,prettier,prettier,46700,https://github.com/prettier/prettier
2,chinese-poetry,chinese-poetry,44800,https://github.com/chinese-poetry/chinese-poetry
3,Asabeneh,30-Days-Of-JavaScript,38500,https://github.com/Asabeneh/30-Days-Of-JavaScript
4,nlohmann,json,36700,https://github.com/nlohmann/json
5,SheetJS,sheetjs,33600,https://github.com/SheetJS/sheetjs
6,httpie,cli,29300,https://github.com/httpie/cli
7,dromara,hutool,27100,https://github.com/dromara/hutool
8,AykutSarac,jsoncrack.com,25600,https://github.com/AykutSarac/jsoncrack.com
9,alibaba,fastjson,25500,https://github.com/alibaba/fastjson
10,codex-team,editor.js,24400,https://github.com/codex-team/editor.js
11,SwiftyJSON,SwiftyJSON,22100,https://github.com/SwiftyJSON/SwiftyJSON
12,paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
13,urfave,cli,20700,https://github.com/urfave/cli
14,typicode,lowdb,20000,https://github.com/typicode/lowdb
15,antonmedv,fx,17400,https://github.com/antonmedv/fx
16,simdjson,simdjson,17300,https://github.com/simdjson/simdjson
17,modood,Administrative-divisions-of-China,15900,https://github.com/modood/Administrative-divisions-of-China
18,baidu,amis,14900,https://github.com/baidu/amis
19,rjsf-team,react-jsonschema-form,13000,https://github.com/rjsf-team/react-jsonschema-form
