,user,repo,star,link
0,CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
1,Snailclimb,JavaGuide,137000,https://github.com/Snailclimb/JavaGuide
2,iluwatar,java-design-patterns,83800,https://github.com/iluwatar/java-design-patterns
3,doocs,advanced-java,71700,https://github.com/doocs/advanced-java
4,macrozheng,mall,70200,https://github.com/macrozheng/mall
5,spring-projects,spring-boot,69500,https://github.com/spring-projects/spring-boot
6,elastic,elasticsearch,65200,https://github.com/elastic/elasticsearch
7,kdn251,interviews,60400,https://github.com/kdn251/interviews
8,TheAlgorithms,Java,53700,https://github.com/TheAlgorithms/Java
9,azl397985856,leetcode,52500,https://github.com/azl397985856/leetcode
10,google,guava,48300,https://github.com/google/guava
11,ReactiveX,RxJava,47200,https://github.com/ReactiveX/RxJava
12,square,okhttp,44500,https://github.com/square/okhttp
13,youngyangyang04,leetcode-master,42200,https://github.com/youngyangyang04/leetcode-master
14,square,retrofit,42000,https://github.com/square/retrofit
15,apache,dubbo,39400,https://github.com/apache/dubbo
16,PhilJay,MPAndroidChart,36800,https://github.com/PhilJay/MPAndroidChart
17,apache,spark,36800,https://github.com/apache/spark
18,skylot,jadx,36300,https://github.com/skylot/jadx
19,jeecgboot,jeecg-boot,35900,https://github.com/jeecgboot/jeecg-boot
