,user,repo,star,link
0,freeCodeCamp,freeCodeCamp,374000,https://github.com/freeCodeCamp/freeCodeCamp
1,facebook,react,213000,https://github.com/facebook/react
2,vuejs,vue,205000,https://github.com/vuejs/vue
3,trekhleb,javascript-algorithms,176000,https://github.com/trekhleb/javascript-algorithms
4,getify,You-Dont-Know-JS,171000,https://github.com/getify/You-Dont-Know-JS
5,twbs,bootstrap,165000,https://github.com/twbs/bootstrap
6,airbnb,javascript,137000,https://github.com/airbnb/javascript
7,practical-tutorials,project-based-learning,116000,https://github.com/practical-tutorials/project-based-learning
8,30-seconds,30-seconds-of-code,116000,https://github.com/30-seconds/30-seconds-of-code
9,electron,electron,109000,https://github.com/electron/electron
10,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
11,axios,axios,102000,https://github.com/axios/axios
12,nodejs,node,98000,https://github.com/nodejs/node
13,mrdoob,three.js,94600,https://github.com/mrdoob/three.js
14,microsoft,TypeScript,94300,https://github.com/microsoft/TypeScript
15,goldbergyoni,nodebestpractices,93000,https://github.com/goldbergyoni/nodebestpractices
16,denoland,deno,90900,https://github.com/denoland/deno
17,angular,angular,90400,https://github.com/angular/angular
18,mui,material-ui,88900,https://github.com/mui/material-ui
19,ryanmcdermott,clean-code-javascript,85900,https://github.com/ryanmcdermott/clean-code-javascript
