,user,repo,star,link
0,jakevdp,PythonDataScienceHandbook,39600,https://github.com/jakevdp/PythonDataScienceHandbook
1,CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25900,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
2,ageron,handson-ml,25000,https://github.com/ageron/handson-ml
3,trekhleb,homemade-machine-learning,21800,https://github.com/trekhleb/homemade-machine-learning
4,MLEveryday,100-Days-Of-ML-Code,20300,https://github.com/MLEveryday/100-Days-Of-ML-Code
5,recommenders-team,recommenders,16400,https://github.com/recommenders-team/recommenders
6,plotly,plotly.py,14200,https://github.com/plotly/plotly.py
7,emilwallner,Screenshot-to-code,14100,https://github.com/emilwallner/Screenshot-to-code
8,chenyuntc,pytorch-book,11300,https://github.com/chenyuntc/pytorch-book
9,ydataai,ydata-profiling,11200,https://github.com/ydataai/ydata-profiling
10,jupyter,notebook,10500,https://github.com/jupyter/notebook
11,marceloprates,prettymaps,10100,https://github.com/marceloprates/prettymaps
12,dunovank,jupyter-themes,9600,https://github.com/dunovank/jupyter-themes
13,AkashSingh3031,The-Complete-FAANG-Preparation,9500,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
14,microsoft,computervision-recipes,9100,https://github.com/microsoft/computervision-recipes
15,aws,amazon-sagemaker-examples,8800,https://github.com/aws/amazon-sagemaker-examples
16,jupyter,docker-stacks,7500,https://github.com/jupyter/docker-stacks
17,jupyterhub,jupyterhub,7300,https://github.com/jupyterhub/jupyterhub
18,firmai,industry-machine-learning,6900,https://github.com/firmai/industry-machine-learning
19,Atcold,NYU-DLSP20,6500,https://github.com/Atcold/NYU-DLSP20
