,user,repo,star,link
0,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
1,JetBrains,kotlin,45900,https://github.com/JetBrains/kotlin
2,square,okhttp,44500,https://github.com/square/okhttp
3,square,leakcanary,28700,https://github.com/square/leakcanary
4,tachiyomiorg,tachiyomi,24600,https://github.com/tachiyomiorg/tachiyomi
5,NativeScript,NativeScript,23000,https://github.com/NativeScript/NativeScript
6,google,iosched,21800,https://github.com/google/iosched
7,tipsy,profile-summary-for-github,19800,https://github.com/tipsy/profile-summary-for-github
8,afollestad,material-dialogs,19600,https://github.com/afollestad/material-dialogs
9,Tencent,MMKV,16200,https://github.com/Tencent/MMKV
10,Kotlin,anko,15900,https://github.com/Kotlin/anko
11,gradle,gradle,15200,https://github.com/gradle/gradle
12,JetBrains,compose-multiplatform,13400,https://github.com/JetBrains/compose-multiplatform
13,mamoe,mirai,13300,https://github.com/mamoe/mirai
14,android,nowinandroid,13000,https://github.com/android/nowinandroid
15,yuliskov,SmartTubeNext,12700,https://github.com/yuliskov/SmartTubeNext
16,Kotlin,kotlinx.coroutines,12300,https://github.com/Kotlin/kotlinx.coroutines
17,ktorio,ktor,11600,https://github.com/ktorio/ktor
18,wasabeef,recyclerview-animators,11300,https://github.com/wasabeef/recyclerview-animators
19,permissions-dispatcher,PermissionsDispatcher,11200,https://github.com/permissions-dispatcher/PermissionsDispatcher
