,user,repo,star,link
0,kubernetes,kubernetes,102000,https://github.com/kubernetes/kubernetes
1,netdata,netdata,65200,https://github.com/netdata/netdata
2,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
3,traefik,traefik,44700,https://github.com/traefik/traefik
4,etcd-io,etcd,44500,https://github.com/etcd-io/etcd
5,minio,minio,40900,https://github.com/minio/minio
6,Kong,kong,35900,https://github.com/Kong/kong
7,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
8,istio,istio,33700,https://github.com/istio/istio
9,alibaba,nacos,27600,https://github.com/alibaba/nacos
10,kubernetes,minikube,27300,https://github.com/kubernetes/minikube
11,hashicorp,consul,26900,https://github.com/hashicorp/consul
12,portainer,portainer,26600,https://github.com/portainer/portainer
13,dokku,dokku,25000,https://github.com/dokku/dokku
14,helm,helm,25000,https://github.com/helm/helm
15,k3s-io,k3s,24500,https://github.com/k3s-io/k3s
16,GitHubDaily,GitHubDaily,24000,https://github.com/GitHubDaily/GitHubDaily
17,MichaelCade,90DaysOfDevOps,23900,https://github.com/MichaelCade/90DaysOfDevOps
18,openfaas,faas,23500,https://github.com/openfaas/faas
19,yeasy,docker_practice,22900,https://github.com/yeasy/docker_practice
