,user,repo,star,link
0,marktext,marktext,41500,https://github.com/marktext/marktext
1,posquit0,Awesome-CV,20100,https://github.com/posquit0/Awesome-CV
2,HarisIqbal88,PlotNeuralNet,20100,https://github.com/HarisIqbal88/PlotNeuralNet
3,KaTeX,KaTeX,17000,https://github.com/KaTeX/KaTeX
4,hmemcpy,milewski-ctfp-pdf,10400,https://github.com/hmemcpy/milewski-ctfp-pdf
5,mathjax,MathJax,9600,https://github.com/mathjax/MathJax
6,billryan,resume,7900,https://github.com/billryan/resume
7,garrettj403,SciencePlots,5700,https://github.com/garrettj403/SciencePlots
8,Wandmalfarbe,pandoc-latex-template,5400,https://github.com/Wandmalfarbe/pandoc-latex-template
9,lukas-blecher,LaTeX-OCR,4900,https://github.com/lukas-blecher/LaTeX-OCR
10,lervag,vimtex,4800,https://github.com/lervag/vimtex
11,google-research,arxiv-latex-cleaner,4200,https://github.com/google-research/arxiv-latex-cleaner
12,retorquere,zotero-better-bibtex,4200,https://github.com/retorquere/zotero-better-bibtex
13,sb2nov,resume,4100,https://github.com/sb2nov/resume
14,tuna,thuthesis,4100,https://github.com/tuna/thuthesis
15,Keldos-Li,typora-latex-theme,3900,https://github.com/Keldos-Li/typora-latex-theme
16,Wookai,paper-tips-and-tricks,3500,https://github.com/Wookai/paper-tips-and-tricks
17,rstudio,bookdown,3500,https://github.com/rstudio/bookdown
18,luong-komorebi,Begin-Latex-in-minutes,3200,https://github.com/luong-komorebi/Begin-Latex-in-minutes
19,dyweb,awesome-resume-for-chinese,3200,https://github.com/dyweb/awesome-resume-for-chinese
