,user,repo,star,link
0,laravel,laravel,74800,https://github.com/laravel/laravel
1,laravel,framework,30300,https://github.com/laravel/framework
2,monicahq,monica,19600,https://github.com/monicahq/monica
3,barryvdh,laravel-debugbar,15600,https://github.com/barryvdh/laravel-debugbar
4,koel,koel,15000,https://github.com/koel/koel
5,flarum,flarum,14300,https://github.com/flarum/flarum
6,Intervention,image,13400,https://github.com/Intervention/image
7,cachethq,cachet,13400,https://github.com/cachethq/cachet
8,barryvdh,laravel-ide-helper,13400,https://github.com/barryvdh/laravel-ide-helper
9,roots,sage,12300,https://github.com/roots/sage
10,BookStackApp,BookStack,12200,https://github.com/BookStackApp/BookStack
11,chiraggude,awesome-laravel,12000,https://github.com/chiraggude/awesome-laravel
12,SpartnerNL,Laravel-Excel,11700,https://github.com/SpartnerNL/Laravel-Excel
13,thedevdojo,voyager,11500,https://github.com/thedevdojo/voyager
14,spatie,laravel-permission,11500,https://github.com/spatie/laravel-permission
15,tymondesigns,jwt-auth,11000,https://github.com/tymondesigns/jwt-auth
16,octobercms,october,10900,https://github.com/octobercms/october
17,alexeymezenin,laravel-best-practices,10000,https://github.com/alexeymezenin/laravel-best-practices
18,filamentphp,filament,9200,https://github.com/filamentphp/filament
19,guyueyingmu,avbook,9100,https://github.com/guyueyingmu/avbook
