,user,repo,star,link
0,ocornut,imgui,50500,https://github.com/ocornut/imgui
1,curl,curl,31300,https://github.com/curl/curl
2,ccxt,ccxt,29200,https://github.com/ccxt/ccxt
3,acheong08,ChatGPT,27300,https://github.com/acheong08/ChatGPT
4,mojs,mojs,18100,https://github.com/mojs/mojs
5,framework7io,framework7,17500,https://github.com/framework7io/framework7
6,nextui-org,nextui,15800,https://github.com/nextui-org/nextui
7,OpenGenus,cosmos,13400,https://github.com/OpenGenus/cosmos
8,dgraph-io,badger,12800,https://github.com/dgraph-io/badger
9,webview,webview,11500,https://github.com/webview/webview
10,Ramotion,animated-tab-bar,11100,https://github.com/Ramotion/animated-tab-bar
11,barbajs,barba,11000,https://github.com/barbajs/barba
12,felangel,bloc,10900,https://github.com/felangel/bloc
13,WenchaoD,FSCalendar,10400,https://github.com/WenchaoD/FSCalendar
14,Ramotion,folding-cell,10200,https://github.com/Ramotion/folding-cell
15,cdnjs,cdnjs,10000,https://github.com/cdnjs/cdnjs
16,apache,thrift,9900,https://github.com/apache/thrift
17,libgit2,libgit2,9200,https://github.com/libgit2/libgit2
18,roughike,BottomBar,8400,https://github.com/roughike/BottomBar
19,LonamiWebs,Telethon,8200,https://github.com/LonamiWebs/Telethon
