,user,repo,star,link
0,jlevy,the-art-of-command-line,140000,https://github.com/jlevy/the-art-of-command-line
1,trimstray,the-book-of-secret-knowledge,108000,https://github.com/trimstray/the-book-of-secret-knowledge
2,nodejs,node,98000,https://github.com/nodejs/node
3,netdata,netdata,65200,https://github.com/netdata/netdata
4,atom,atom,59600,https://github.com/atom/atom
5,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
6,ventoy,Ventoy,52900,https://github.com/ventoy/Ventoy
7,alacritty,alacritty,48700,https://github.com/alacritty/alacritty
8,rustdesk,rustdesk,47400,https://github.com/rustdesk/rustdesk
9,sherlock-project,sherlock,43400,https://github.com/sherlock-project/sherlock
10,FiloSottile,mkcert,42800,https://github.com/FiloSottile/mkcert
11,vercel,hyper,41500,https://github.com/vercel/hyper
12,marktext,marktext,41500,https://github.com/marktext/marktext
13,lencx,ChatGPT,41300,https://github.com/lencx/ChatGPT
14,PowerShell,PowerShell,40900,https://github.com/PowerShell/PowerShell
15,agalwood,Motrix,40200,https://github.com/agalwood/Motrix
16,Z4nzu,hackingtool,39000,https://github.com/Z4nzu/hackingtool
17,GitSquared,edex-ui,38400,https://github.com/GitSquared/edex-ui
18,nativefier,nativefier,34300,https://github.com/nativefier/nativefier
19,0xAX,linux-insides,28700,https://github.com/0xAX/linux-insides
