,user,repo,star,link
0,AtsushiSakai,PythonRobotics,19800,https://github.com/AtsushiSakai/PythonRobotics
1,frappe,erpnext,14800,https://github.com/frappe/erpnext
2,formatjs,formatjs,13900,https://github.com/formatjs/formatjs
3,SwiftGen,SwiftGen,8800,https://github.com/SwiftGen/SwiftGen
4,Humanizr,Humanizer,7900,https://github.com/Humanizr/Humanizer
5,cartographer-project,cartographer,6700,https://github.com/cartographer-project/cartographer
6,lingui,js-lingui,3900,https://github.com/lingui/js-lingui
7,WeblateOrg,weblate,3800,https://github.com/WeblateOrg/weblate
8,jeremykenedy,laravel-auth,2900,https://github.com/jeremykenedy/laravel-auth
9,hybridsjs,hybrids,2900,https://github.com/hybridsjs/hybrids
10,github,relative-time-element,2800,https://github.com/github/relative-time-element
11,symfony,intl,2600,https://github.com/symfony/intl
12,aralroca,next-translate,2300,https://github.com/aralroca/next-translate
13,introlab,rtabmap,2200,https://github.com/introlab/rtabmap
14,ever-co,ever-traduora,1900,https://github.com/ever-co/ever-traduora
15,ivanhofer,typesafe-i18n,1800,https://github.com/ivanhofer/typesafe-i18n
16,onlytailei,CppRobotics,1500,https://github.com/onlytailei/CppRobotics
17,igorkulman,iOSLocalizationEditor,1400,https://github.com/igorkulman/iOSLocalizationEditor
18,mozilla,pontoon,1300,https://github.com/mozilla/pontoon
19,FlineDev,BartyCrouch,1300,https://github.com/FlineDev/BartyCrouch
