,user,repo,star,link
0,neovim,neovim,69700,https://github.com/neovim/neovim
1,coolsnowwolf,lede,27100,https://github.com/coolsnowwolf/lede
2,SpaceVim,SpaceVim,20100,https://github.com/SpaceVim/SpaceVim
3,NvChad,NvChad,19400,https://github.com/NvChad/NvChad
4,cocos2d,cocos2d-x,17500,https://github.com/cocos2d/cocos2d-x
5,LunarVim,LunarVim,15900,https://github.com/LunarVim/LunarVim
6,lionsoul2014,ip2region,14200,https://github.com/lionsoul2014/ip2region
7,spotify,annoy,11900,https://github.com/spotify/annoy
8,nvim-telescope,telescope.nvim,11300,https://github.com/nvim-telescope/telescope.nvim
9,Hammerspoon,hammerspoon,10800,https://github.com/Hammerspoon/hammerspoon
10,AstroNvim,AstroNvim,10500,https://github.com/AstroNvim/AstroNvim
11,codota,TabNine,10200,https://github.com/codota/TabNine
12,minetest,minetest,9400,https://github.com/minetest/minetest
13,lk-geimfari,awesomo,9000,https://github.com/lk-geimfari/awesomo
14,Tencent,xLua,8700,https://github.com/Tencent/xLua
15,nmap,nmap,8300,https://github.com/nmap/nmap
16,xmake-io,xmake,7800,https://github.com/xmake-io/xmake
17,nodemcu,nodemcu-firmware,7500,https://github.com/nodemcu/nodemcu-firmware
18,wbthomason,packer.nvim,7100,https://github.com/wbthomason/packer.nvim
19,brndnmtthws,conky,6500,https://github.com/brndnmtthws/conky
