,user,repo,star,link
0,zhanwen,MathModel,6400.0,https://github.com/zhanwen/MathModel
1,PRML,PRMLT,5900.0,https://github.com/PRML/PRMLT
2,ZheC,Realtime_Multi-Person_Pose_Estimation,5000.0,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
3,flybywiresim,aircraft,4700.0,https://github.com/flybywiresim/aircraft
4,ZachL1,Bilibili-plus,3500.0,https://github.com/ZachL1/Bilibili-plus
5,Chakazul,Lenia,3200.0,https://github.com/Chakazul/Lenia
6,personqianduixue,Math_Model,2300.0,https://github.com/personqianduixue/Math_Model
7,HuangCongQing,Algorithms_MathModels,1800.0,https://github.com/HuangCongQing/Algorithms_MathModels
8,kaxap,arl,1800.0,https://github.com/kaxap/arl
9,matlab2tikz,matlab2tikz,1400.0,https://github.com/matlab2tikz/matlab2tikz
10,casadi,casadi,1400.0,https://github.com/casadi/casadi
11,BIMK,PlatEMO,1200.0,https://github.com/BIMK/PlatEMO
12,analyticalmonk,awesome-neuroscience,1100.0,https://github.com/analyticalmonk/awesome-neuroscience
13,pptacher,probabilistic_robotics,1100.0,https://github.com/pptacher/probabilistic_robotics
14,scottclowe,matlab-schemer,1100.0,https://github.com/scottclowe/matlab-schemer
15,petercorke,robotics-toolbox-matlab,1100.0,https://github.com/petercorke/robotics-toolbox-matlab
16,JSBSim-Team,jsbsim,,https://github.com/JSBSim-Team/jsbsim
17,bytefish,facerec,,https://github.com/bytefish/facerec
18,DrTimothyAldenDavis,SuiteSparse,,https://github.com/DrTimothyAldenDavis/SuiteSparse
19,JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
