,user,repo,star,link
0,tensorflow,tensorflow,178000,https://github.com/tensorflow/tensorflow
1,huggingface,transformers,112000,https://github.com/huggingface/transformers
2,pytorch,pytorch,71100,https://github.com/pytorch/pytorch
3,netdata,netdata,65200,https://github.com/netdata/netdata
4,Developer-Y,cs-video-courses,60300,https://github.com/Developer-Y/cs-video-courses
5,keras-team,keras,59400,https://github.com/keras-team/keras
6,scikit-learn,scikit-learn,55900,https://github.com/scikit-learn/scikit-learn
7,microsoft,ML-For-Beginners,53600,https://github.com/microsoft/ML-For-Beginners
8,tesseract-ocr,tesseract,53500,https://github.com/tesseract-ocr/tesseract
9,ageitgey,face_recognition,49400,https://github.com/ageitgey/face_recognition
10,d2l-ai,d2l-zh,48800,https://github.com/d2l-ai/d2l-zh
11,binhnguyennus,awesome-scalability,48500,https://github.com/binhnguyennus/awesome-scalability
12,deepfakes,faceswap,47100,https://github.com/deepfakes/faceswap
13,JuliaLang,julia,43200,https://github.com/JuliaLang/julia
14,aymericdamien,TensorFlow-Examples,43000,https://github.com/aymericdamien/TensorFlow-Examples
15,iperov,DeepFaceLab,42600,https://github.com/iperov/DeepFaceLab
16,Avik-Jain,100-Days-Of-ML-Code,41900,https://github.com/Avik-Jain/100-Days-Of-ML-Code
17,ultralytics,yolov5,41800,https://github.com/ultralytics/yolov5
18,labmlai,annotated_deep_learning_paper_implementations,36300,https://github.com/labmlai/annotated_deep_learning_paper_implementations
19,LAION-AI,Open-Assistant,35200,https://github.com/LAION-AI/Open-Assistant
