,user,repo,star,link
0,mastodon,mastodon,44100.0,https://github.com/mastodon/mastodon
1,elk-zone,elk,4400.0,https://github.com/elk-zone/elk
2,Dimillian,IceCubesApp,3600.0,https://github.com/Dimillian/IceCubesApp
3,superseriousbusiness,gotosocial,3000.0,https://github.com/superseriousbusiness/gotosocial
4,TwidereProject,Twidere-Android,2700.0,https://github.com/TwidereProject/Twidere-Android
5,tuskyapp,Tusky,2300.0,https://github.com/tuskyapp/Tusky
6,mastodon,mastodon-ios,1900.0,https://github.com/mastodon/mastodon-ios
7,mastodon,documentation,1700.0,https://github.com/mastodon/documentation
8,mastodon,mastodon-android,1500.0,https://github.com/mastodon/mastodon-android
9,wabarc,wayback,1400.0,https://github.com/wabarc/wayback
10,nolanlawson,pinafore,1000.0,https://github.com/nolanlawson/pinafore
11,ihabunek,toot,1000.0,https://github.com/ihabunek/toot
12,joyeusenoelle,GuideToMastodon,,https://github.com/joyeusenoelle/GuideToMastodon
13,h3poteto,whalebird-desktop,,https://github.com/h3poteto/whalebird-desktop
14,nathanlesage,academics-on-mastodon,,https://github.com/nathanlesage/academics-on-mastodon
15,tleb,awesome-mastodon,,https://github.com/tleb/awesome-mastodon
16,rustodon,rustodon,,https://github.com/rustodon/rustodon
17,halcy,Mastodon.py,,https://github.com/halcy/Mastodon.py
18,renatolond,mastodon-twitter-poster,,https://github.com/renatolond/mastodon-twitter-poster
19,metabolist,metatext,,https://github.com/metabolist/metatext
