,user,repo,star,link
0,flutter,flutter,157000,https://github.com/flutter/flutter
1,mui,material-ui,88900,https://github.com/mui/material-ui
2,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
3,google,material-design-icons,48700,https://github.com/google/material-design-icons
4,Solido,awesome-flutter,48600,https://github.com/Solido/awesome-flutter
5,Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
6,vuetifyjs,vuetify,38000,https://github.com/vuetifyjs/vuetify
7,google,material-design-lite,32200,https://github.com/google/material-design-lite
8,quasarframework,quasar,24300,https://github.com/quasarframework/quasar
9,mdbootstrap,mdb-ui-kit,23700,https://github.com/mdbootstrap/mdb-ui-kit
10,angular,components,23700,https://github.com/angular/components
11,HeroTransitions,Hero,21600,https://github.com/HeroTransitions/Hero
12,afollestad,material-dialogs,19600,https://github.com/afollestad/material-dialogs
13,iampawan,FlutterExampleApps,19100,https://github.com/iampawan/FlutterExampleApps
14,framework7io,framework7,17500,https://github.com/framework7io/framework7
15,material-components,material-components-web,16900,https://github.com/material-components/material-components-web
16,angular,material,16600,https://github.com/angular/material
17,squidfunk,mkdocs-material,15500,https://github.com/squidfunk/mkdocs-material
18,material-components,material-components-android,15400,https://github.com/material-components/material-components-android
19,MaterialDesignInXAML,MaterialDesignInXamlToolkit,14000,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
