,user,repo,star,link
0,GoogleContainerTools,jib,13000,https://github.com/GoogleContainerTools/jib
1,bytedeco,javacv,6900,https://github.com/bytedeco/javacv
2,zhanglei-workspace,shopping-management-system,4600,https://github.com/zhanglei-workspace/shopping-management-system
3,rubenlagus,TelegramBots,4000,https://github.com/rubenlagus/TelegramBots
4,apache,maven,3900,https://github.com/apache/maven
5,diffplug,spotless,3700,https://github.com/diffplug/spotless
6,ZHENFENG13,My-Blog,3300,https://github.com/ZHENFENG13/My-Blog
7,java-aodeng,hope-boot,3300,https://github.com/java-aodeng/hope-boot
8,Kotlin,kotlin-examples,3200,https://github.com/Kotlin/kotlin-examples
9,spotify,dockerfile-maven,2700,https://github.com/spotify/dockerfile-maven
10,spotify,docker-maven-plugin,2700,https://github.com/spotify/docker-maven-plugin
11,apache,maven-mvnd,2600,https://github.com/apache/maven-mvnd
12,bytedeco,javacpp-presets,2500,https://github.com/bytedeco/javacpp-presets
13,jitpack,jitpack.io,2400,https://github.com/jitpack/jitpack.io
14,bonigarcia,webdrivermanager,2400,https://github.com/bonigarcia/webdrivermanager
15,vector4wang,spring-boot-quick,2300,https://github.com/vector4wang/spring-boot-quick
16,sanluan,PublicCMS,1900,https://github.com/sanluan/PublicCMS
17,fabric8io,docker-maven-plugin,1800,https://github.com/fabric8io/docker-maven-plugin
18,ZHENFENG13,ssm-demo,1800,https://github.com/ZHENFENG13/ssm-demo
19,henryyan,kft-activiti-demo,1600,https://github.com/henryyan/kft-activiti-demo
