,user,repo,star,link
0,fogleman,Craft,9900,https://github.com/fogleman/Craft
1,dnschneid,crouton,8400,https://github.com/dnschneid/crouton
2,PaperMC,Paper,8000,https://github.com/PaperMC/Paper
3,IdreesInc,Monocraft,7100,https://github.com/IdreesInc/Monocraft
4,MinecraftForge,MinecraftForge,6400,https://github.com/MinecraftForge/MinecraftForge
5,cabaletta,baritone,6100,https://github.com/cabaletta/baritone
6,nuno-faria,tiler,5700,https://github.com/nuno-faria/tiler
7,huanghongxun,HMCL,5600,https://github.com/huanghongxun/HMCL
8,PojavLauncherTeam,PojavLauncher,4800,https://github.com/PojavLauncherTeam/PojavLauncher
9,cuberite,cuberite,4700,https://github.com/cuberite/cuberite
10,CaffeineMC,sodium-fabric,4200,https://github.com/CaffeineMC/sodium-fabric
11,MineDojo,Voyager,4200,https://github.com/MineDojo/Voyager
12,GeyserMC,Geyser,4100,https://github.com/GeyserMC/Geyser
13,PrismarineJS,mineflayer,4100,https://github.com/PrismarineJS/mineflayer
14,MultiMC,Launcher,4000,https://github.com/MultiMC/Launcher
15,PrismLauncher,PrismLauncher,4000,https://github.com/PrismLauncher/PrismLauncher
16,pmmp,PocketMine-MP,3100,https://github.com/pmmp/PocketMine-MP
17,EngineHub,WorldEdit,2900,https://github.com/EngineHub/WorldEdit
18,IrisShaders,Iris,2800,https://github.com/IrisShaders/Iris
19,PaperMC,Folia,2600,https://github.com/PaperMC/Folia
