,user,repo,star,link
0,monero-project,monero,8100.0,https://github.com/monero-project/monero
1,xmrig,xmrig,7700.0,https://github.com/xmrig/xmrig
2,yjjnls,awesome-blockchain,2900.0,https://github.com/yjjnls/awesome-blockchain
3,cazala,coin-hive,2000.0,https://github.com/cazala/coin-hive
4,MultiPoolMiner,MultiPoolMiner,,https://github.com/MultiPoolMiner/MultiPoolMiner
5,Cyclenerd,ethereum_nvidia_miner,,https://github.com/Cyclenerd/ethereum_nvidia_miner
6,SChernykh,p2pool,,https://github.com/SChernykh/p2pool
7,UnamSanctam,SilentCryptoMiner,,https://github.com/UnamSanctam/SilentCryptoMiner
8,xmrig,xmrig-nvidia,,https://github.com/xmrig/xmrig-nvidia
9,oliverw,miningcore,,https://github.com/oliverw/miningcore
10,haveno-dex,haveno,,https://github.com/haveno-dex/haveno
11,lucasjones,cpuminer-multi,,https://github.com/lucasjones/cpuminer-multi
12,nanopool,nanominer,,https://github.com/nanopool/nanominer
13,howardwu,wagyu,,https://github.com/howardwu/wagyu
14,comit-network,xmr-btc-swap,,https://github.com/comit-network/xmr-btc-swap
15,xmrig,xmrig-proxy,,https://github.com/xmrig/xmrig-proxy
16,deepwn,deepMiner,,https://github.com/deepwn/deepMiner
17,UnamSanctam,SilentXMRMiner,,https://github.com/UnamSanctam/SilentXMRMiner
18,bradoyler,xmr-miner,,https://github.com/bradoyler/xmr-miner
19,sammy007,monero-stratum,,https://github.com/sammy007/monero-stratum
