,user,repo,star,link
0,macrozheng,mall,70200,https://github.com/macrozheng/mall
1,netdata,netdata,65200,https://github.com/netdata/netdata
2,meteor,meteor,43700,https://github.com/meteor/meteor
3,0voice,interview_internal_reference,35400,https://github.com/0voice/interview_internal_reference
4,prisma,prisma,33900,https://github.com/prisma/prisma
5,ityouknow,spring-boot-examples,29400,https://github.com/ityouknow/spring-boot-examples
6,Asabeneh,30-Days-Of-Python,26300,https://github.com/Asabeneh/30-Days-Of-Python
7,Automattic,mongoose,26000,https://github.com/Automattic/mongoose
8,mongodb,mongo,24400,https://github.com/mongodb/mongo
9,parse-community,parse-server,20400,https://github.com/parse-community/parse-server
10,mindsdb,mindsdb,17900,https://github.com/mindsdb/mindsdb
11,mouredev,Hello-Python,15900,https://github.com/mouredev/Hello-Python
12,nswbmw,N-blog,15300,https://github.com/nswbmw/N-blog
13,NodeBB,NodeBB,13600,https://github.com/NodeBB/NodeBB
14,macrozheng,mall-learning,12300,https://github.com/macrozheng/mall-learning
15,golang-migrate,migrate,12300,https://github.com/golang-migrate/migrate
16,payloadcms,payload,12200,https://github.com/payloadcms/payload
17,linnovate,mean,12200,https://github.com/linnovate/mean
18,bailicangdu,node-elm,12100,https://github.com/bailicangdu/node-elm
19,reactioncommerce,reaction,12100,https://github.com/reactioncommerce/reaction
