,user,repo,star,link
0,netdata,netdata,65200,https://github.com/netdata/netdata
1,grafana,grafana,57200,https://github.com/grafana/grafana
2,prometheus,prometheus,50000,https://github.com/prometheus/prometheus
3,Unitech,pm2,39700,https://github.com/Unitech/pm2
4,huginn,huginn,39400,https://github.com/huginn/huginn
5,louislam,uptime-kuma,38700,https://github.com/louislam/uptime-kuma
6,getsentry,sentry,35200,https://github.com/getsentry/sentry
7,influxdata,influxdb,26100,https://github.com/influxdata/influxdb
8,nicolargo,glances,23500,https://github.com/nicolargo/glances
9,taosdata,TDengine,21800,https://github.com/taosdata/TDengine
10,osquery,osquery,20600,https://github.com/osquery/osquery
11,didi,DoKit,19700,https://github.com/didi/DoKit
12,dianping,cat,18100,https://github.com/dianping/cat
13,allinurl,goaccess,16700,https://github.com/allinurl/goaccess
14,cilium,cilium,16500,https://github.com/cilium/cilium
15,bcicen,ctop,14600,https://github.com/bcicen/ctop
16,bettercap,bettercap,14600,https://github.com/bettercap/bettercap
17,SigNoz,signoz,14400,https://github.com/SigNoz/signoz
18,influxdata,telegraf,13200,https://github.com/influxdata/telegraf
19,pinpoint-apm,pinpoint,13000,https://github.com/pinpoint-apm/pinpoint
