,user,repo,star,link
0,MvvmCross,MvvmCross,3800.0,https://github.com/MvvmCross/MvvmCross
1,MvvmCross,MvvmCross-Samples,,https://github.com/MvvmCross/MvvmCross-Samples
2,MvvmCross,NPlus1DaysOfMvvmCross,,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
3,Baseflow,Chameleon,,https://github.com/Baseflow/Chameleon
4,Plac3hold3r,MvxScaffolding,,https://github.com/Plac3hold3r/MvxScaffolding
5,Cheesebaron,Cheesebaron.MvxPlugins,,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
6,Nethereum,Nethereum.UI.Wallet.Sample,,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
7,DominicMaas,SoundByteOSS,,https://github.com/DominicMaas/SoundByteOSS
8,Baseflow,MvxForms,,https://github.com/Baseflow/MvxForms
9,rogerwcpt,xamarin-mvvvm-frameworks,,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
10,grendio,XBottomSheet,,https://github.com/grendio/XBottomSheet
11,mgj,MvvmCross-Dreams,,https://github.com/mgj/MvvmCross-Dreams
12,JTOne123,XamFormsMvxTemplate,,https://github.com/JTOne123/XamFormsMvxTemplate
13,softlion,XamSvg-Samples,,https://github.com/softlion/XamSvg-Samples
14,zleao,MvvmCross-Extensions,,https://github.com/zleao/MvvmCross-Extensions
15,nmilcoff,TagsView,,https://github.com/nmilcoff/TagsView
16,AppRopio,AppRopio.Mobile,,https://github.com/AppRopio/AppRopio.Mobile
17,jimbobbennett,MvvmCross-VisualStudioAddIn,,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
18,entdark,JKChat,,https://github.com/entdark/JKChat
19,mkromis,MinoriEditorShell,,https://github.com/mkromis/MinoriEditorShell
