,user,repo,star,link
0,Snailclimb,JavaGuide,137000,https://github.com/Snailclimb/JavaGuide
1,macrozheng,mall,70200,https://github.com/macrozheng/mall
2,netdata,netdata,65200,https://github.com/netdata/netdata
3,grafana,grafana,57200,https://github.com/grafana/grafana
4,strapi,strapi,56200,https://github.com/strapi/strapi
5,gogs,gogs,43000,https://github.com/gogs/gogs
6,nocodb,nocodb,37900,https://github.com/nocodb/nocodb
7,0voice,interview_internal_reference,35400,https://github.com/0voice/interview_internal_reference
8,pingcap,tidb,34900,https://github.com/pingcap/tidb
9,AobingJava,JavaFamily,34500,https://github.com/AobingJava/JavaFamily
10,metabase,metabase,34200,https://github.com/metabase/metabase
11,prisma,prisma,33900,https://github.com/prisma/prisma
12,dbeaver,dbeaver,33900,https://github.com/dbeaver/dbeaver
13,typeorm,typeorm,32100,https://github.com/typeorm/typeorm
14,hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
15,sequelize,sequelize,28400,https://github.com/sequelize/sequelize
16,hollischuang,toBeTopJavaer,24900,https://github.com/hollischuang/toBeTopJavaer
17,getredash,redash,23900,https://github.com/getredash/redash
18,directus,directus,23200,https://github.com/directus/directus
19,YunaiV,ruoyi-vue-pro,19900,https://github.com/YunaiV/ruoyi-vue-pro
