,user,repo,star,link
0,NativeScript,NativeScript,23000.0,https://github.com/NativeScript/NativeScript
1,nativescript-vue,nativescript-vue,5200.0,https://github.com/nativescript-vue/nativescript-vue
2,alibaba,LuaViewSDK,3700.0,https://github.com/alibaba/LuaViewSDK
3,ngx-formly,ngx-formly,2600.0,https://github.com/ngx-formly/ngx-formly
4,NathanWalker,angular-seed-advanced,2300.0,https://github.com/NathanWalker/angular-seed-advanced
5,momotech,MLN,1600.0,https://github.com/momotech/MLN
6,NativeScript,nativescript-angular,1200.0,https://github.com/NativeScript/nativescript-angular
7,NativeScript,nativescript-cli,1000.0,https://github.com/NativeScript/nativescript-cli
8,EddyVerbruggen,nativescript-plugin-firebase,1000.0,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
9,NativeScript,android,,https://github.com/NativeScript/android
10,NativeScript,docs-v7,,https://github.com/NativeScript/docs-v7
11,OpenNative,open-native,,https://github.com/OpenNative/open-native
12,nstudio,xplat,,https://github.com/nstudio/xplat
13,ShadowApex,godot-go,,https://github.com/ShadowApex/godot-go
14,tralves,groceries-ns-vue,,https://github.com/tralves/groceries-ns-vue
15,NativeScript,ios-jsc,,https://github.com/NativeScript/ios-jsc
16,EddyVerbruggen,nativescript-barcodescanner,,https://github.com/EddyVerbruggen/nativescript-barcodescanner
17,nstudio,nativescript-cardview,,https://github.com/nstudio/nativescript-cardview
18,shirakaba,react-nativescript,,https://github.com/shirakaba/react-nativescript
19,TeamMaestro,angular-native-seed,,https://github.com/TeamMaestro/angular-native-seed
