,user,repo,star,link
0,huggingface,transformers,112000,https://github.com/huggingface/transformers
1,apachecn,ailearning,36500,https://github.com/apachecn/ailearning
2,google-research,bert,35300,https://github.com/google-research/bert
3,hankcs,HanLP,30300,https://github.com/hankcs/HanLP
4,explosion,spaCy,27200,https://github.com/explosion/spaCy
5,microsoft,AI-For-Beginners,17600,https://github.com/microsoft/AI-For-Beginners
6,huggingface,datasets,17200,https://github.com/huggingface/datasets
7,RasaHQ,rasa,17000,https://github.com/RasaHQ/rasa
8,microsoft,unilm,15600,https://github.com/microsoft/unilm
9,oxford-cs-deepnlp-2017,lectures,15500,https://github.com/oxford-cs-deepnlp-2017/lectures
10,keon,awesome-nlp,15200,https://github.com/keon/awesome-nlp
11,ymcui,Chinese-LLaMA-Alpaca,14700,https://github.com/ymcui/Chinese-LLaMA-Alpaca
12,RaRe-Technologies,gensim,14600,https://github.com/RaRe-Technologies/gensim
13,ml-tooling,best-of-ml-python,14500,https://github.com/ml-tooling/best-of-ml-python
14,bharathgs,Awesome-pytorch-list,14400,https://github.com/bharathgs/Awesome-pytorch-list
15,NLP-LOVE,ML-NLP,14300,https://github.com/NLP-LOVE/ML-NLP
16,virgili0,Virgilio,13500,https://github.com/virgili0/Virgilio
17,ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,13400,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
18,flairNLP,flair,13100,https://github.com/flairNLP/flair
19,graykode,nlp-tutorial,13000,https://github.com/graykode/nlp-tutorial
