,user,repo,star,link
0,nim-lang,Nim,15500.0,https://github.com/nim-lang/Nim
1,zedeus,nitter,8400.0,https://github.com/zedeus/nitter
2,kaitai-io,kaitai_struct,3600.0,https://github.com/kaitai-io/kaitai_struct
3,Dav1dde,glad,3200.0,https://github.com/Dav1dde/glad
4,dom96,jester,1500.0,https://github.com/dom96/jester
5,nim-lang,nimble,1200.0,https://github.com/nim-lang/nimble
6,planety,prologue,1200.0,https://github.com/planety/prologue
7,mratsim,Arraymancer,1100.0,https://github.com/mratsim/Arraymancer
8,yglukhov,nimx,1000.0,https://github.com/yglukhov/nimx
9,aduros,wasm4,,https://github.com/aduros/wasm4
10,ringabout,awesome-nim,,https://github.com/ringabout/awesome-nim
11,Pebaz,nimporter,,https://github.com/Pebaz/nimporter
12,nim-lang,nimforum,,https://github.com/nim-lang/nimforum
13,codic12,worm,,https://github.com/codic12/worm
14,simonkrauter,NiGui,,https://github.com/simonkrauter/NiGui
15,VPashkov,awesome-nim,,https://github.com/VPashkov/awesome-nim
16,arnetheduck,nlvm,,https://github.com/arnetheduck/nlvm
17,dom96,choosenim,,https://github.com/dom96/choosenim
18,inim-repl,INim,,https://github.com/inim-repl/INim
19,dom96,nimkernel,,https://github.com/dom96/nimkernel
