,user,repo,star,link
0,redis,redis,61600,https://github.com/redis/redis
1,dbeaver,dbeaver,33900,https://github.com/dbeaver/dbeaver
2,mongodb,mongo,24400,https://github.com/mongodb/mongo
3,surrealdb,surrealdb,22600,https://github.com/surrealdb/surrealdb
4,pubkey,rxdb,19700,https://github.com/pubkey/rxdb
5,arangodb,arangodb,13100,https://github.com/arangodb/arangodb
6,CodisLabs,codis,13000,https://github.com/CodisLabs/codis
7,neo4j,neo4j,11800,https://github.com/neo4j/neo4j
8,scylladb,scylladb,11100,https://github.com/scylladb/scylladb
9,mongodb,node-mongodb-native,9800,https://github.com/mongodb/node-mongodb-native
10,appbaseio,dejavu,8200,https://github.com/appbaseio/dejavu
11,mbdavid,LiteDB,7800,https://github.com/mbdavid/LiteDB
12,linkedin,school-of-sre,7400,https://github.com/linkedin/school-of-sre
13,madd86,awesome-system-design,7100,https://github.com/madd86/awesome-system-design
14,oracle,docker-images,6200,https://github.com/oracle/docker-images
15,apache,zeppelin,6200,https://github.com/apache/zeppelin
16,msiemens,tinydb,6100,https://github.com/msiemens/tinydb
17,OpenAtomFoundation,pika,5300,https://github.com/OpenAtomFoundation/pika
18,dzharii,awesome-elasticsearch,4600,https://github.com/dzharii/awesome-elasticsearch
19,orientechnologies,orientdb,4600,https://github.com/orientechnologies/orientdb
