,user,repo,star,link
0,freeCodeCamp,freeCodeCamp,374000,https://github.com/freeCodeCamp/freeCodeCamp
1,30-seconds,30-seconds-of-code,116000,https://github.com/30-seconds/30-seconds-of-code
2,electron,electron,109000,https://github.com/electron/electron
3,axios,axios,102000,https://github.com/axios/axios
4,nodejs,node,98000,https://github.com/nodejs/node
5,goldbergyoni,nodebestpractices,93000,https://github.com/goldbergyoni/nodebestpractices
6,nvm-sh,nvm,70300,https://github.com/nvm-sh/nvm
7,oven-sh,bun,62800,https://github.com/oven-sh/bun
8,expressjs,express,61900,https://github.com/expressjs/express
9,nestjs,nest,59800,https://github.com/nestjs/nest
10,socketio,socket.io,59000,https://github.com/socketio/socket.io
11,leonardomso,33-js-concepts,57800,https://github.com/leonardomso/33-js-concepts
12,strapi,strapi,56200,https://github.com/strapi/strapi
13,sindresorhus,awesome-nodejs,52900,https://github.com/sindresorhus/awesome-nodejs
14,TryGhost,Ghost,44000,https://github.com/TryGhost/Ghost
15,meteor,meteor,43700,https://github.com/meteor/meteor
16,nwjs,nw.js,39800,https://github.com/nwjs/nw.js
17,Unitech,pm2,39700,https://github.com/Unitech/pm2
18,laurent22,joplin,38700,https://github.com/laurent22/joplin
19,google,zx,38600,https://github.com/google/zx
