,user,repo,star,link
0,vsouza,awesome-ios,44000,https://github.com/vsouza/awesome-ios
1,serhii-londar,open-source-mac-os-apps,36900,https://github.com/serhii-londar/open-source-mac-os-apps
2,dkhamsing,open-source-ios-apps,36500,https://github.com/dkhamsing/open-source-ios-apps
3,SDWebImage,SDWebImage,24700,https://github.com/SDWebImage/SDWebImage
4,NativeScript,NativeScript,23000,https://github.com/NativeScript/NativeScript
5,hackiftekhar,IQKeyboardManager,16200,https://github.com/hackiftekhar/IQKeyboardManager
6,realm,realm-swift,16000,https://github.com/realm/realm-swift
7,OpenEmu,OpenEmu,15200,https://github.com/OpenEmu/OpenEmu
8,facebook,infer,14300,https://github.com/facebook/infer
9,CocoaPods,CocoaPods,14300,https://github.com/CocoaPods/CocoaPods
10,kyleneideck,BackgroundMusic,14100,https://github.com/kyleneideck/BackgroundMusic
11,CoderMJLee,MJRefresh,13700,https://github.com/CoderMJLee/MJRefresh
12,CocoaLumberjack,CocoaLumberjack,13000,https://github.com/CocoaLumberjack/CocoaLumberjack
13,Instagram,IGListKit,12700,https://github.com/Instagram/IGListKit
14,SVProgressHUD,SVProgressHUD,12400,https://github.com/SVProgressHUD/SVProgressHUD
15,halfrost,Halfrost-Field,12300,https://github.com/halfrost/Halfrost-Field
16,Tim9Liu9,TimLiu-iOS,11400,https://github.com/Tim9Liu9/TimLiu-iOS
17,Mantle,Mantle,11300,https://github.com/Mantle/Mantle
18,Hammerspoon,hammerspoon,10800,https://github.com/Hammerspoon/hammerspoon
19,futurice,ios-good-practices,10800,https://github.com/futurice/ios-good-practices
