,user,repo,star,link
0,alacritty,alacritty,48700,https://github.com/alacritty/alacritty
1,kovidgoyal,kitty,19900,https://github.com/kovidgoyal/kitty
2,ssloy,tinyrenderer,17900,https://github.com/ssloy/tinyrenderer
3,google,filament,16300,https://github.com/google/filament
4,lettier,3d-game-shaders-for-beginners,16100,https://github.com/lettier/3d-game-shaders-for-beginners
5,raysan5,raylib,15300,https://github.com/raysan5/raylib
6,bkaradzic,bgfx,13500,https://github.com/bkaradzic/bgfx
7,OpenRCT2,OpenRCT2,12200,https://github.com/OpenRCT2/OpenRCT2
8,SFTtech,openage,12000,https://github.com/SFTtech/openage
9,glfw,glfw,11200,https://github.com/glfw/glfw
10,fogleman,Craft,9900,https://github.com/fogleman/Craft
11,openframeworks,openFrameworks,9500,https://github.com/openframeworks/openFrameworks
12,isl-org,Open3D,9500,https://github.com/isl-org/Open3D
13,SFML,SFML,9000,https://github.com/SFML/SFML
14,gfx-rs,wgpu,8900,https://github.com/gfx-rs/wgpu
15,cats-oss,android-gpuimage,8800,https://github.com/cats-oss/android-gpuimage
16,g-truc,glm,7900,https://github.com/g-truc/glm
17,baldurk,renderdoc,7800,https://github.com/baldurk/renderdoc
18,olive-editor,olive,7300,https://github.com/olive-editor/olive
19,openscad,openscad,5900,https://github.com/openscad/openscad
