,user,repo,star,link
0,huihut,interview,30500,https://github.com/huihut/interview
1,SerenityOS,serenity,26100,https://github.com/SerenityOS/serenity
2,Awesome-HarmonyOS,HarmonyOS,18800,https://github.com/Awesome-HarmonyOS/HarmonyOS
3,redox-os,redox,14600,https://github.com/redox-os/redox
4,reactos,reactos,13200,https://github.com/reactos/reactos
5,phil-opp,blog_os,12900,https://github.com/phil-opp/blog_os
6,s-matyukevich,raspberry-pi-os,12400,https://github.com/s-matyukevich/raspberry-pi-os
7,rust-embedded,rust-raspberrypi-OS-tutorials,11500,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
8,tuhdo,os01,11000,https://github.com/tuhdo/os01
9,AkashSingh3031,The-Complete-FAANG-Preparation,9500,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
10,wolverinn,Waking-Up,9100,https://github.com/wolverinn/Waking-Up
11,gurugio,lowlevelprogramming-university,8800,https://github.com/gurugio/lowlevelprogramming-university
12,bottlerocket-os,bottlerocket,7700,https://github.com/bottlerocket-os/bottlerocket
13,NodeOS,NodeOS,6900,https://github.com/NodeOS/NodeOS
14,klange,toaruos,5700,https://github.com/klange/toaruos
15,yourtion,30dayMakeOS,5300,https://github.com/yourtion/30dayMakeOS
16,ravynsoft,ravynos,5100,https://github.com/ravynsoft/ravynos
17,includeos,IncludeOS,4700,https://github.com/includeos/IncludeOS
18,tock,tock,4600,https://github.com/tock/tock
19,oshi,oshi,4100,https://github.com/oshi/oshi
