,user,repo,star,link
0,fatedier,frp,72200,https://github.com/fatedier/frp
1,bitcoin,bitcoin,71500,https://github.com/bitcoin/bitcoin
2,syncthing,syncthing,54500,https://github.com/syncthing/syncthing
3,rustdesk,rustdesk,47400,https://github.com/rustdesk/rustdesk
4,ethereum,go-ethereum,43700,https://github.com/ethereum/go-ethereum
5,webtorrent,webtorrent,28300,https://github.com/webtorrent/webtorrent
6,ipfs,ipfs,22300,https://github.com/ipfs/ipfs
7,HelloZeroNet,ZeroNet,18000,https://github.com/HelloZeroNet/ZeroNet
8,amark,gun,17400,https://github.com/amark/gun
9,yjs,yjs,13000,https://github.com/yjs/yjs
10,Chocobozzz,PeerTube,12000,https://github.com/Chocobozzz/PeerTube
11,pion,webrtc,11700,https://github.com/pion/webrtc
12,peers,peerjs,11500,https://github.com/peers/peerjs
13,webtorrent,webtorrent-desktop,9400,https://github.com/webtorrent/webtorrent-desktop
14,monero-project,monero,8100,https://github.com/monero-project/monero
15,orbitdb,orbitdb,7800,https://github.com/orbitdb/orbitdb
16,ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
17,lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
18,berty,berty,7000,https://github.com/berty/berty
19,feross,simple-peer,7000,https://github.com/feross/simple-peer
