,user,repo,star,link
0,angular,angular,90400,https://github.com/angular/angular
1,hoppscotch,hoppscotch,54800,https://github.com/hoppscotch/hoppscotch
2,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
3,freeCodeCamp,devdocs,32400,https://github.com/freeCodeCamp/devdocs
4,GoogleChrome,lighthouse,27100,https://github.com/GoogleChrome/lighthouse
5,qier222,YesPlayMusic,24900,https://github.com/qier222/YesPlayMusic
6,quasarframework,quasar,24300,https://github.com/quasarframework/quasar
7,RobinLinus,snapdrop,16200,https://github.com/RobinLinus/snapdrop
8,Lissy93,dashy,13000,https://github.com/Lissy93/dashy
9,vuestorefront,vue-storefront,10300,https://github.com/vuestorefront/vue-storefront
10,ionic-team,capacitor,10000,https://github.com/ionic-team/capacitor
11,aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
12,OnsenUI,OnsenUI,8700,https://github.com/OnsenUI/OnsenUI
13,alibaba,rax,7900,https://github.com/alibaba/rax
14,maxence-charriere,go-app,7300,https://github.com/maxence-charriere/go-app
15,andreasbm,web-skills,6700,https://github.com/andreasbm/web-skills
16,BuilderIO,builder,5600,https://github.com/BuilderIO/builder
17,angus-c,just,5600,https://github.com/angus-c/just
18,lauragift21,awesome-learning-resources,5100,https://github.com/lauragift21/awesome-learning-resources
19,cotes2020,jekyll-theme-chirpy,4900,https://github.com/cotes2020/jekyll-theme-chirpy
