,user,repo,star,link
0,yarnpkg,yarn,41300,https://github.com/yarnpkg/yarn
1,Homebrew,brew,37100,https://github.com/Homebrew/brew
2,composer,composer,27900,https://github.com/composer/composer
3,python-poetry,poetry,26700,https://github.com/python-poetry/poetry
4,pnpm,pnpm,25500,https://github.com/pnpm/pnpm
5,microsoft,winget-cli,20900,https://github.com/microsoft/winget-cli
6,microsoft,vcpkg,19700,https://github.com/microsoft/vcpkg
7,bower,bower,15000,https://github.com/bower/bower
8,Carthage,Carthage,14900,https://github.com/Carthage/Carthage
9,CocoaPods,CocoaPods,14300,https://github.com/CocoaPods/CocoaPods
10,golang,dep,12900,https://github.com/golang/dep
11,rust-lang,cargo,11000,https://github.com/rust-lang/cargo
12,chocolatey,choco,9400,https://github.com/chocolatey/choco
13,ds300,patch-package,9300,https://github.com/ds300/patch-package
14,NixOS,nix,9000,https://github.com/NixOS/nix
15,volta-cli,volta,8700,https://github.com/volta-cli/volta
16,xmake-io,xmake,7800,https://github.com/xmake-io/xmake
17,zsh-users,antigen,7700,https://github.com/zsh-users/antigen
18,npm,cli,7500,https://github.com/npm/cli
19,teaxyz,cli,7400,https://github.com/teaxyz/cli
