,user,repo,star,link
0,gchq,CyberChef,22600,https://github.com/gchq/CyberChef
1,pydantic,pydantic,15800,https://github.com/pydantic/pydantic
2,antlr,antlr4,15300,https://github.com/antlr/antlr4
3,tree-sitter,tree-sitter,13200,https://github.com/tree-sitter/tree-sitter
4,soxoj,maigret,9000,https://github.com/soxoj/maigret
5,DoctorWkt,acwj,8800,https://github.com/DoctorWkt/acwj
6,jquery,esprima,6800,https://github.com/jquery/esprima
7,marmelroy,PhoneNumberKit,4900,https://github.com/marmelroy/PhoneNumberKit
8,Leonidas-from-XIV,node-xml2js,4700,https://github.com/Leonidas-from-XIV/node-xml2js
9,estree,estree,4700,https://github.com/estree/estree
10,ohmjs,ohm,4500,https://github.com/ohmjs/ohm
11,pest-parser,pest,4000,https://github.com/pest-parser/pest
12,troessner,reek,3900,https://github.com/troessner/reek
13,lief-project,LIEF,3800,https://github.com/lief-project/LIEF
14,SBJson,SBJson,3700,https://github.com/SBJson/SBJson
15,fabian-hiller,valibot,3500,https://github.com/fabian-hiller/valibot
16,kach,nearley,3500,https://github.com/kach/nearley
17,google,wuffs,3400,https://github.com/google/wuffs
18,timofurrer,maya,3400,https://github.com/timofurrer/maya
19,zserge,jsmn,3400,https://github.com/zserge/jsmn
