,user,repo,star,link
0,learnbyexample,Command-line-text-processing,10100,https://github.com/learnbyexample/Command-line-text-processing
1,theos,theos,4100,https://github.com/theos/theos
2,kaitai-io,kaitai_struct,3600,https://github.com/kaitai-io/kaitai_struct
3,imapsync,imapsync,2900,https://github.com/imapsync/imapsync
4,rsnapshot,rsnapshot,2900,https://github.com/rsnapshot/rsnapshot
5,weechat,weechat,2700,https://github.com/weechat/weechat
6,mojolicious,mojo,2600,https://github.com/mojolicious/mojo
7,apache,avro,2600,https://github.com/apache/avro
8,jfcoz,postgresqltuner,2500,https://github.com/jfcoz/postgresqltuner
9,exiftool,exiftool,2400,https://github.com/exiftool/exiftool
10,apache,activemq,2200,https://github.com/apache/activemq
11,Komodo,KomodoEdit,2100,https://github.com/Komodo/KomodoEdit
12,HariSekhon,DevOps-Bash-tools,1900,https://github.com/HariSekhon/DevOps-Bash-tools
13,munin-monitoring,munin,1800,https://github.com/munin-monitoring/munin
14,kaxap,arl,1800,https://github.com/kaxap/arl
15,neurobin,shc,1800,https://github.com/neurobin/shc
16,hexsum,Mojo-Webqq,1700,https://github.com/hexsum/Mojo-Webqq
17,Perl,perl5,1700,https://github.com/Perl/perl5
18,htrgouvea,nipe,1700,https://github.com/htrgouvea/nipe
19,Difegue,LANraragi,1600,https://github.com/Difegue/LANraragi
