,user,repo,star,link
0,netdata,netdata,65200,https://github.com/netdata/netdata
1,supabase,supabase,57100,https://github.com/supabase/supabase
2,gogs,gogs,43000,https://github.com/gogs/gogs
3,discourse,discourse,38800,https://github.com/discourse/discourse
4,nocodb,nocodb,37900,https://github.com/nocodb/nocodb
5,metabase,metabase,34200,https://github.com/metabase/metabase
6,prisma,prisma,33900,https://github.com/prisma/prisma
7,dbeaver,dbeaver,33900,https://github.com/dbeaver/dbeaver
8,typeorm,typeorm,32100,https://github.com/typeorm/typeorm
9,sequelize,sequelize,28400,https://github.com/sequelize/sequelize
10,getredash,redash,23900,https://github.com/getredash/redash
11,calcom,cal.com,23300,https://github.com/calcom/cal.com
12,directus,directus,23200,https://github.com/directus/directus
13,PostgREST,postgrest,21100,https://github.com/PostgREST/postgrest
14,apache,shardingsphere,18800,https://github.com/apache/shardingsphere
15,knex,knex,18000,https://github.com/knex/knex
16,makeplane,plane,16300,https://github.com/makeplane/plane
17,cube-js,cube,16200,https://github.com/cube-js/cube
18,plausible,analytics,16100,https://github.com/plausible/analytics
19,Tencent,APIJSON,15900,https://github.com/Tencent/APIJSON
