,user,repo,star,link
0,makeplane,plane,16300,https://github.com/makeplane/plane
1,mattermost,focalboard,16100,https://github.com/mattermost/focalboard
2,frappe,erpnext,14800,https://github.com/frappe/erpnext
3,kanboard,kanboard,7700,https://github.com/kanboard/kanboard
4,opf,openproject,7400,https://github.com/opf/openproject
5,JordanKnott,taskcafe,3900,https://github.com/JordanKnott/taskcafe
6,bbatsov,projectile,3900,https://github.com/bbatsov/projectile
7,kuaifan,dootask,3800,https://github.com/kuaifan/dootask
8,mark-when,markwhen,3100,https://github.com/mark-when/markwhen
9,gdcmarinho,awesome-project,2800,https://github.com/gdcmarinho/awesome-project
10,Leantime,leantime,2500,https://github.com/Leantime/leantime
11,boltpkg,bolt,2300,https://github.com/boltpkg/bolt
12,200ok-ch,organice,2200,https://github.com/200ok-ch/organice
13,ONLYOFFICE,CommunityServer,2100,https://github.com/ONLYOFFICE/CommunityServer
14,Hasnayeen,invobook,1900,https://github.com/Hasnayeen/invobook
15,engineering-management,awesome-engineering-management,1800,https://github.com/engineering-management/awesome-engineering-management
16,lxerxa,actionview,1800,https://github.com/lxerxa/actionview
17,freeplane,freeplane,1800,https://github.com/freeplane/freeplane
18,a54552239,pearProject,1800,https://github.com/a54552239/pearProject
19,dephell,dephell,1800,https://github.com/dephell/dephell
