,user,repo,star,link
0,TryGhost,Ghost,44000.0,https://github.com/TryGhost/Ghost
1,lerna,lerna,34900.0,https://github.com/lerna/lerna
2,jgm,pandoc,30000.0,https://github.com/jgm/pandoc
3,timlrx,tailwind-nextjs-starter-blog,5500.0,https://github.com/timlrx/tailwind-nextjs-starter-blog
4,nteract,papermill,5400.0,https://github.com/nteract/papermill
5,Triple-T,gradle-play-publisher,4000.0,https://github.com/Triple-T/gradle-play-publisher
6,writefreely,writefreely,3800.0,https://github.com/writefreely/writefreely
7,austintoddj,canvas,3200.0,https://github.com/austintoddj/canvas
8,themsaid,wink,2800.0,https://github.com/themsaid/wink
9,substance,substance,2700.0,https://github.com/substance/substance
10,TryGhost,Casper,2500.0,https://github.com/TryGhost/Casper
11,intuit,auto,2100.0,https://github.com/intuit/auto
12,sile-typesetter,sile,1500.0,https://github.com/sile-typesetter/sile
13,w3c,epubcheck,1400.0,https://github.com/w3c/epubcheck
14,openjournals,joss,1300.0,https://github.com/openjournals/joss
15,substance,texture,,https://github.com/substance/texture
16,vanniktech,gradle-maven-publish-plugin,,https://github.com/vanniktech/gradle-maven-publish-plugin
17,man-group,notebooker,,https://github.com/man-group/notebooker
18,elgohr,Publish-Docker-Github-Action,,https://github.com/elgohr/Publish-Docker-Github-Action
19,javiereguiluz,easybook,,https://github.com/javiereguiluz/easybook
