,user,repo,star,link
0,donnemartin,system-design-primer,230000,https://github.com/donnemartin/system-design-primer
1,vinta,awesome-python,182000,https://github.com/vinta/awesome-python
2,tensorflow,tensorflow,178000,https://github.com/tensorflow/tensorflow
3,TheAlgorithms,Python,170000,https://github.com/TheAlgorithms/Python
4,CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
5,Significant-Gravitas,AutoGPT,149000,https://github.com/Significant-Gravitas/AutoGPT
6,practical-tutorials,project-based-learning,116000,https://github.com/practical-tutorials/project-based-learning
7,30-seconds,30-seconds-of-code,116000,https://github.com/30-seconds/30-seconds-of-code
8,huggingface,transformers,112000,https://github.com/huggingface/transformers
9,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
10,nvbn,thefuck,79400,https://github.com/nvbn/thefuck
11,521xueweihan,HelloGitHub,75700,https://github.com/521xueweihan/HelloGitHub
12,django,django,73200,https://github.com/django/django
13,pytorch,pytorch,71100,https://github.com/pytorch/pytorch
14,pallets,flask,64400,https://github.com/pallets/flask
15,home-assistant,core,63100,https://github.com/home-assistant/core
16,tiangolo,fastapi,62900,https://github.com/tiangolo/fastapi
17,keras-team,keras,59400,https://github.com/keras-team/keras
18,ansible,ansible,58700,https://github.com/ansible/ansible
19,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
