,user,repo,star,link
0,flameshot-org,flameshot,21700,https://github.com/flameshot-org/flameshot
1,Swordfish90,cool-retro-term,20200,https://github.com/Swordfish90/cool-retro-term
2,barry-ran,QtScrcpy,12400,https://github.com/barry-ran/QtScrcpy
3,PySimpleGUI,PySimpleGUI,12100,https://github.com/PySimpleGUI/PySimpleGUI
4,SFTtech,openage,12000,https://github.com/SFTtech/openage
5,musescore,MuseScore,10100,https://github.com/musescore/MuseScore
6,therecipe,qt,10000,https://github.com/therecipe/qt
7,mapeditor,tiled,9900,https://github.com/mapeditor/tiled
8,jopohl,urh,9700,https://github.com/jopohl/urh
9,qutebrowser,qutebrowser,9000,https://github.com/qutebrowser/qutebrowser
10,nodegui,nodegui,8500,https://github.com/nodegui/nodegui
11,spyder-ide,spyder,7800,https://github.com/spyder-ide/spyder
12,visualfc,liteide,7300,https://github.com/visualfc/liteide
13,olive-editor,olive,7300,https://github.com/olive-editor/olive
14,dail8859,NotepadNext,6600,https://github.com/dail8859/NotepadNext
15,moonlight-stream,moonlight-qt,6200,https://github.com/moonlight-stream/moonlight-qt
16,nodegui,react-nodegui,6100,https://github.com/nodegui/react-nodegui
17,filecxx,FileCentipede,5400,https://github.com/filecxx/FileCentipede
18,qTox,qTox,4600,https://github.com/qTox/qTox
19,mapbox,mapbox-gl-native,4300,https://github.com/mapbox/mapbox-gl-native
