,user,repo,star,link
0,microsoft,ML-For-Beginners,53600,https://github.com/microsoft/ML-For-Beginners
1,apache,spark,36800,https://github.com/apache/spark
2,plotly,dash,19400,https://github.com/plotly/dash
3,oracle,graal,19100,https://github.com/oracle/graal
4,facebook,prophet,16400,https://github.com/facebook/prophet
5,microsoft,LightGBM,15500,https://github.com/microsoft/LightGBM
6,FavioVazquez,ds-cheatsheets,12400,https://github.com/FavioVazquez/ds-cheatsheets
7,kanaka,mal,9500,https://github.com/kanaka/mal
8,wowchemy,wowchemy-hugo-themes,7400,https://github.com/wowchemy/wowchemy-hugo-themes
9,catboost,catboost,7400,https://github.com/catboost/catboost
10,Netflix,metaflow,7000,https://github.com/Netflix/metaflow
11,h2oai,h2o-3,6500,https://github.com/h2oai/h2o-3
12,tidyverse,ggplot2,6100,https://github.com/tidyverse/ggplot2
13,qinwf,awesome-R,5600,https://github.com/qinwf/awesome-R
14,nteract,papermill,5400,https://github.com/nteract/papermill
15,rstudio,shiny,5100,https://github.com/rstudio/shiny
16,tidyverse,dplyr,4500,https://github.com/tidyverse/dplyr
17,hadley,r4ds,4100,https://github.com/hadley/r4ds
18,h2oai,wave,3700,https://github.com/h2oai/wave
19,jeroenjanssens,data-science-at-the-command-line,3600,https://github.com/jeroenjanssens/data-science-at-the-command-line
