,user,repo,star,link
0,hoppscotch,hoppscotch,54800,https://github.com/hoppscotch/hoppscotch
1,nocodb,nocodb,37900,https://github.com/nocodb/nocodb
2,Kong,insomnia,30900,https://github.com/Kong/insomnia
3,hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
4,httpie,cli,29300,https://github.com/httpie/cli
5,gofiber,fiber,28500,https://github.com/gofiber/fiber
6,zeromicro,go-zero,25600,https://github.com/zeromicro/go-zero
7,swagger-api,swagger-ui,24500,https://github.com/swagger-api/swagger-ui
8,microsoft,api-guidelines,21800,https://github.com/microsoft/api-guidelines
9,parse-community,parse-server,20400,https://github.com/parse-community/parse-server
10,OpenAPITools,openapi-generator,17700,https://github.com/OpenAPITools/openapi-generator
11,makeplane,plane,16300,https://github.com/makeplane/plane
12,grpc-ecosystem,grpc-gateway,16100,https://github.com/grpc-ecosystem/grpc-gateway
13,swagger-api,swagger-codegen,16000,https://github.com/swagger-api/swagger-codegen
14,go-chi,chi,15400,https://github.com/go-chi/chi
15,binwiederhier,ntfy,13800,https://github.com/binwiederhier/ntfy
16,restify,node-restify,10700,https://github.com/restify/node-restify
17,r-spacex,SpaceX-API,10000,https://github.com/r-spacex/SpaceX-API
18,dotnet-architecture,eShopOnWeb,9200,https://github.com/dotnet-architecture/eShopOnWeb
19,kgrzybek,modular-monolith-with-ddd,8900,https://github.com/kgrzybek/modular-monolith-with-ddd
