,user,repo,star,link
0,rails,rails,53500,https://github.com/rails/rails
1,discourse,discourse,38800,https://github.com/discourse/discourse
2,heartcombo,devise,23400,https://github.com/heartcombo/devise
3,gitlabhq,gitlabhq,23400,https://github.com/gitlabhq/gitlabhq
4,forem,forem,21000,https://github.com/forem/forem
5,chatwoot,chatwoot,16300,https://github.com/chatwoot/chatwoot
6,diaspora,diaspora,13300,https://github.com/diaspora/diaspora
7,spree,spree,12400,https://github.com/spree/spree
8,activeadmin,activeadmin,9400,https://github.com/activeadmin/activeadmin
9,kaminari,kaminari,8400,https://github.com/kaminari/kaminari
10,heartcombo,simple_form,8100,https://github.com/heartcombo/simple_form
11,primer,octicons,7900,https://github.com/primer/octicons
12,gobuffalo,buffalo,7800,https://github.com/gobuffalo/buffalo
13,thoughtbot,factory_bot,7800,https://github.com/thoughtbot/factory_bot
14,presidentbeef,brakeman,6700,https://github.com/presidentbeef/brakeman
15,reactjs,react-rails,6700,https://github.com/reactjs/react-rails
16,paper-trail-gem,paper_trail,6600,https://github.com/paper-trail-gem/paper_trail
17,rubocop,rails-style-guide,6400,https://github.com/rubocop/rails-style-guide
18,ankane,searchkick,6300,https://github.com/ankane/searchkick
19,sj26,mailcatcher,6000,https://github.com/sj26/mailcatcher
