,user,repo,star,link
0,netdata,netdata,65200,https://github.com/netdata/netdata
1,home-assistant,core,63100,https://github.com/home-assistant/core
2,pi-hole,pi-hole,43400,https://github.com/pi-hole/pi-hole
3,gogs,gogs,43000,https://github.com/gogs/gogs
4,hwdsl2,setup-ipsec-vpn,22700,https://github.com/hwdsl2/setup-ipsec-vpn
5,MichMich,MagicMirror,18100,https://github.com/MichMich/MagicMirror
6,jarun,nnn,17100,https://github.com/jarun/nnn
7,raysan5,raylib,15300,https://github.com/raysan5/raylib
8,microsoft,IoT-For-Beginners,13500,https://github.com/microsoft/IoT-For-Beginners
9,rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five
10,s-matyukevich,raspberry-pi-os,12400,https://github.com/s-matyukevich/raspberry-pi-os
11,thibmaek,awesome-raspberry-pi,11800,https://github.com/thibmaek/awesome-raspberry-pi
12,rust-embedded,rust-raspberrypi-OS-tutorials,11500,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
13,therecipe,qt,10000,https://github.com/therecipe/qt
14,RetroPie,RetroPie-Setup,9800,https://github.com/RetroPie/RetroPie-Setup
15,nasa,fprime,9500,https://github.com/nasa/fprime
16,openframeworks,openFrameworks,9500,https://github.com/openframeworks/openFrameworks
17,hybridgroup,gobot,8400,https://github.com/hybridgroup/gobot
18,navidrome,navidrome,7700,https://github.com/navidrome/navidrome
19,OctoPrint,OctoPrint,7600,https://github.com/OctoPrint/OctoPrint
