,user,repo,star,link
0,freeCodeCamp,freeCodeCamp,374000,https://github.com/freeCodeCamp/freeCodeCamp
1,facebook,react,213000,https://github.com/facebook/react
2,vercel,next.js,112000,https://github.com/vercel/next.js
3,facebook,react-native,112000,https://github.com/facebook/react-native
4,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
5,facebook,create-react-app,101000,https://github.com/facebook/create-react-app
6,mui,material-ui,88900,https://github.com/mui/material-ui
7,ant-design,ant-design,87600,https://github.com/ant-design/ant-design
8,storybookjs,storybook,80400,https://github.com/storybookjs/storybook
9,oven-sh,bun,62800,https://github.com/oven-sh/bun
10,enaqx,awesome-react,58300,https://github.com/enaqx/awesome-react
11,leonardomso,33-js-concepts,57800,https://github.com/leonardomso/33-js-concepts
12,gatsbyjs,gatsby,54700,https://github.com/gatsbyjs/gatsby
13,apache,superset,54300,https://github.com/apache/superset
14,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
15,facebook,docusaurus,47900,https://github.com/facebook/docusaurus
16,Yidadaa,ChatGPT-Next-Web,44200,https://github.com/Yidadaa/ChatGPT-Next-Web
17,meteor,meteor,43700,https://github.com/meteor/meteor
18,typescript-cheatsheets,react,42300,https://github.com/typescript-cheatsheets/react
19,vercel,hyper,41500,https://github.com/vercel/hyper
