,user,repo,star,link
0,reduxjs,redux,59900,https://github.com/reduxjs/redux
1,Asabeneh,30-Days-Of-JavaScript,38500,https://github.com/Asabeneh/30-Days-Of-JavaScript
2,pmndrs,zustand,35400,https://github.com/pmndrs/zustand
3,sudheerj,reactjs-interview-questions,31900,https://github.com/sudheerj/reactjs-interview-questions
4,react-boilerplate,react-boilerplate,29300,https://github.com/react-boilerplate/react-boilerplate
5,immerjs,immer,26000,https://github.com/immerjs/immer
6,reduxjs,react-redux,23000,https://github.com/reduxjs/react-redux
7,Asabeneh,30-Days-Of-React,22800,https://github.com/Asabeneh/30-Days-Of-React
8,redux-saga,redux-saga,22500,https://github.com/redux-saga/redux-saga
9,markerikson,react-redux-links,22300,https://github.com/markerikson/react-redux-links
10,paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
11,responsively-org,responsively-app,20800,https://github.com/responsively-org/responsively-app
12,verekia,js-stack-from-scratch,20000,https://github.com/verekia/js-stack-from-scratch
13,reduxjs,reselect,18900,https://github.com/reduxjs/reselect
14,dvajs,dva,16200,https://github.com/dvajs/dva
15,grab,front-end-guide,15000,https://github.com/grab/front-end-guide
16,infinitered,reactotron,14200,https://github.com/infinitered/reactotron
17,zalmoxisus,redux-devtools-extension,13500,https://github.com/zalmoxisus/redux-devtools-extension
18,piotrwitek,react-redux-typescript-guide,13200,https://github.com/piotrwitek/react-redux-typescript-guide
19,rt2zz,redux-persist,12700,https://github.com/rt2zz/redux-persist
