,user,repo,star,link
0,DopplerHQ,awesome-interview-questions,57800,https://github.com/DopplerHQ/awesome-interview-questions
1,rails,rails,53500,https://github.com/rails/rails
2,jekyll,jekyll,47300,https://github.com/jekyll/jekyll
3,discourse,discourse,38800,https://github.com/discourse/discourse
4,fastlane,fastlane,37600,https://github.com/fastlane/fastlane
5,Homebrew,brew,37100,https://github.com/Homebrew/brew
6,serhii-londar,open-source-mac-os-apps,36900,https://github.com/serhii-londar/open-source-mac-os-apps
7,SeleniumHQ,selenium,27800,https://github.com/SeleniumHQ/selenium
8,hashicorp,vagrant,25400,https://github.com/hashicorp/vagrant
9,heartcombo,devise,23400,https://github.com/heartcombo/devise
10,gitlabhq,gitlabhq,23400,https://github.com/gitlabhq/gitlabhq
11,forem,forem,21000,https://github.com/forem/forem
12,ruby,ruby,20800,https://github.com/ruby/ruby
13,oracle,graal,19100,https://github.com/oracle/graal
14,asdf-vm,asdf,18600,https://github.com/asdf-vm/asdf
15,lewagon,setup,16500,https://github.com/lewagon/setup
16,rubocop,ruby-style-guide,16300,https://github.com/rubocop/ruby-style-guide
17,rbenv,rbenv,15300,https://github.com/rbenv/rbenv
18,gollum,gollum,13300,https://github.com/gollum/gollum
19,diaspora,diaspora,13300,https://github.com/diaspora/diaspora
