,user,repo,star,link
0,denoland,deno,90900,https://github.com/denoland/deno
1,rust-lang,rust,85600,https://github.com/rust-lang/rust
2,tauri-apps,tauri,68700,https://github.com/tauri-apps/tauri
3,alacritty,alacritty,48700,https://github.com/alacritty/alacritty
4,rustdesk,rustdesk,47400,https://github.com/rustdesk/rustdesk
5,sharkdp,bat,43100,https://github.com/sharkdp/bat
6,rust-lang,rustlings,42200,https://github.com/rust-lang/rustlings
7,lencx,ChatGPT,41300,https://github.com/lencx/ChatGPT
8,BurntSushi,ripgrep,40200,https://github.com/BurntSushi/ripgrep
9,meilisearch,meilisearch,38900,https://github.com/meilisearch/meilisearch
10,AppFlowy-IO,AppFlowy,38800,https://github.com/AppFlowy-IO/AppFlowy
11,rust-unofficial,awesome-rust,37300,https://github.com/rust-unofficial/awesome-rust
12,starship,starship,36600,https://github.com/starship/starship
13,sharkdp,fd,28900,https://github.com/sharkdp/fd
14,swc-project,swc,28600,https://github.com/swc-project/swc
15,yewstack,yew,28500,https://github.com/yewstack/yew
16,dani-garcia,vaultwarden,27900,https://github.com/dani-garcia/vaultwarden
17,lapce,lapce,27800,https://github.com/lapce/lapce
18,bevyengine,bevy,26600,https://github.com/bevyengine/bevy
19,nushell,nushell,26600,https://github.com/nushell/nushell
