,user,repo,star,link
0,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
1,apache,spark,36800,https://github.com/apache/spark
2,pingcap,tidb,34900,https://github.com/pingcap/tidb
3,dbeaver,dbeaver,33900,https://github.com/dbeaver/dbeaver
4,ClickHouse,ClickHouse,30900,https://github.com/ClickHouse/ClickHouse
5,sequelize,sequelize,28400,https://github.com/sequelize/sequelize
6,cockroachdb,cockroach,27800,https://github.com/cockroachdb/cockroach
7,directus,directus,23200,https://github.com/directus/directus
8,surrealdb,surrealdb,22600,https://github.com/surrealdb/surrealdb
9,apache,flink,22000,https://github.com/apache/flink
10,taosdata,TDengine,21800,https://github.com/taosdata/TDengine
11,PostgREST,postgrest,21100,https://github.com/PostgREST/postgrest
12,osquery,osquery,20600,https://github.com/osquery/osquery
13,mybatis,mybatis-3,18900,https://github.com/mybatis/mybatis-3
14,apache,shardingsphere,18800,https://github.com/apache/shardingsphere
15,knex,knex,18000,https://github.com/knex/knex
16,DapperLib,Dapper,16500,https://github.com/DapperLib/Dapper
17,cube-js,cube,16200,https://github.com/cube-js/cube
18,forthespada,CS-Books,15500,https://github.com/forthespada/CS-Books
19,dolthub,dolt,15500,https://github.com/dolthub/dolt
