,user,repo,star,link
0,twbs,bootstrap,165000,https://github.com/twbs/bootstrap
1,bailicangdu,vue2-elm,40400,https://github.com/bailicangdu/vue2-elm
2,tabler,tabler,35500,https://github.com/tabler/tabler
3,IanLunn,Hover,28700,https://github.com/IanLunn/Hover
4,akveo,ngx-admin,24700,https://github.com/akveo/ngx-admin
5,palantir,blueprint,20100,https://github.com/palantir/blueprint
6,chatwoot,chatwoot,16300,https://github.com/chatwoot/chatwoot
7,primer,css,12300,https://github.com/primer/css
8,thoughtbot,bourbon,9100,https://github.com/thoughtbot/bourbon
9,akveo,nebular,7900,https://github.com/akveo/nebular
10,pahen,madge,7800,https://github.com/pahen/madge
11,jonsuh,hamburgers,6900,https://github.com/jonsuh/hamburgers
12,linkedin,css-blocks,6300,https://github.com/linkedin/css-blocks
13,angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
14,elastic,eui,5900,https://github.com/elastic/eui
15,maximegris,angular-electron,5400,https://github.com/maximegris/angular-electron
16,kazzkiq,balloon.css,5000,https://github.com/kazzkiq/balloon.css
17,elrumordelaluz,csshake,4800,https://github.com/elrumordelaluz/csshake
18,thoughtbot,neat,4400,https://github.com/thoughtbot/neat
19,RyanFitzgerald,devportfolio,4200,https://github.com/RyanFitzgerald/devportfolio
