,user,repo,star,link
0,apache,spark,36800,https://github.com/apache/spark
1,apache,kafka,25900,https://github.com/apache/kafka
2,apache,flink,22000,https://github.com/apache/flink
3,heibaiying,BigData-Notes,14500,https://github.com/heibaiying/BigData-Notes
4,scala,scala,14200,https://github.com/scala/scala
5,lichess-org,lila,13600,https://github.com/lichess-org/lila
6,deeplearning4j,deeplearning4j,13200,https://github.com/deeplearning4j/deeplearning4j
7,apache,predictionio,12600,https://github.com/apache/predictionio
8,playframework,playframework,12400,https://github.com/playframework/playframework
9,yahoo,CMAK,11500,https://github.com/yahoo/CMAK
10,hmemcpy,milewski-ctfp-pdf,10400,https://github.com/hmemcpy/milewski-ctfp-pdf
11,kanaka,mal,9500,https://github.com/kanaka/mal
12,lk-geimfari,awesomo,9000,https://github.com/lk-geimfari/awesomo
13,gitbucket,gitbucket,9000,https://github.com/gitbucket/gitbucket
14,lauris,awesome-scala,8800,https://github.com/lauris/awesome-scala
15,twitter,finagle,8700,https://github.com/twitter/finagle
16,Angel-ML,angel,6700,https://github.com/Angel-ML/angel
17,apache,zeppelin,6200,https://github.com/apache/zeppelin
18,gatling,gatling,6100,https://github.com/gatling/gatling
19,lampepfl,dotty,5400,https://github.com/lampepfl/dotty
