,user,repo,star,link
0,trimstray,the-book-of-secret-knowledge,108000,https://github.com/trimstray/the-book-of-secret-knowledge
1,Hack-with-Github,Awesome-Hacking,69400,https://github.com/Hack-with-Github/Awesome-Hacking
2,Developer-Y,cs-video-courses,60300,https://github.com/Developer-Y/cs-video-courses
3,swisskyrepo,PayloadsAllTheThings,50900,https://github.com/swisskyrepo/PayloadsAllTheThings
4,caddyserver,caddy,49900,https://github.com/caddyserver/caddy
5,x64dbg,x64dbg,41600,https://github.com/x64dbg/x64dbg
6,mitmproxy,mitmproxy,32299,https://github.com/mitmproxy/mitmproxy
7,trailofbits,algo,27700,https://github.com/trailofbits/algo
8,digitalocean,nginxconfig.io,26200,https://github.com/digitalocean/nginxconfig.io
9,OWASP,CheatSheetSeries,24700,https://github.com/OWASP/CheatSheetSeries
10,StevenBlack,hosts,23900,https://github.com/StevenBlack/hosts
11,OpenZeppelin,openzeppelin-contracts,23000,https://github.com/OpenZeppelin/openzeppelin-contracts
12,hwdsl2,setup-ipsec-vpn,22700,https://github.com/hwdsl2/setup-ipsec-vpn
13,shieldfy,API-Security-Checklist,21400,https://github.com/shieldfy/API-Security-Checklist
14,FallibleInc,security-guide-for-developers,20800,https://github.com/FallibleInc/security-guide-for-developers
15,osquery,osquery,20600,https://github.com/osquery/osquery
16,drduh,macOS-Security-and-Privacy-Guide,20400,https://github.com/drduh/macOS-Security-and-Privacy-Guide
17,aquasecurity,trivy,18700,https://github.com/aquasecurity/trivy
18,radareorg,radare2,18600,https://github.com/radareorg/radare2
19,matomo-org,matomo,18200,https://github.com/matomo-org/matomo
