,user,repo,star,link
0,anuraghazra,github-readme-stats,59300,https://github.com/anuraghazra/github-readme-stats
1,serverless,serverless,45200,https://github.com/serverless/serverless
2,Kong,kong,35900,https://github.com/Kong/kong
3,pingcap,tidb,34900,https://github.com/pingcap/tidb
4,appwrite,appwrite,33200,https://github.com/appwrite/appwrite
5,openfaas,faas,23500,https://github.com/openfaas/faas
6,firecracker-microvm,firecracker,22600,https://github.com/firecracker-microvm/firecracker
7,surrealdb,surrealdb,22600,https://github.com/surrealdb/surrealdb
8,dapr,dapr,22300,https://github.com/dapr/dapr
9,kriasoft,react-starter-kit,22100,https://github.com/kriasoft/react-starter-kit
10,sst,sst,17700,https://github.com/sst/sst
11,alibaba,ice,17700,https://github.com/alibaba/ice
12,pulumi,pulumi,17600,https://github.com/pulumi/pulumi
13,prisma,prisma1,16700,https://github.com/prisma/prisma1
14,cube-js,cube,16200,https://github.com/cube-js/cube
15,Tencent,APIJSON,15900,https://github.com/Tencent/APIJSON
16,schickling,chromeless,13200,https://github.com/schickling/chromeless
17,apache,apisix,12600,https://github.com/apache/apisix
18,Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
19,firebase,functions-samples,11800,https://github.com/firebase/functions-samples
