,user,repo,star,link
0,ohmyzsh,ohmyzsh,163000,https://github.com/ohmyzsh/ohmyzsh
1,nvbn,thefuck,79400,https://github.com/nvbn/thefuck
2,nvm-sh,nvm,70300,https://github.com/nvm-sh/nvm
3,git,git,47400,https://github.com/git/git
4,ryanoasis,nerd-fonts,46600,https://github.com/ryanoasis/nerd-fonts
5,tldr-pages,tldr,45500,https://github.com/tldr-pages/tldr
6,pi-hole,pi-hole,43400,https://github.com/pi-hole/pi-hole
7,PowerShell,PowerShell,40900,https://github.com/PowerShell/PowerShell
8,google,zx,38600,https://github.com/google/zx
9,GitSquared,edex-ui,38400,https://github.com/GitSquared/edex-ui
10,dylanaraps,pure-bash-bible,34800,https://github.com/dylanaraps/pure-bash-bible
11,pyenv,pyenv,33400,https://github.com/pyenv/pyenv
12,acmesh-official,acme.sh,33200,https://github.com/acmesh-official/acme.sh
13,koalaman,shellcheck,33100,https://github.com/koalaman/shellcheck
14,alebcay,awesome-shell,28600,https://github.com/alebcay/awesome-shell
15,ibraheemdev,modern-unix,27900,https://github.com/ibraheemdev/modern-unix
16,herrbischoff,awesome-macos-command-line,27800,https://github.com/herrbischoff/awesome-macos-command-line
17,zsh-users,zsh-autosuggestions,27500,https://github.com/zsh-users/zsh-autosuggestions
18,nushell,nushell,26600,https://github.com/nushell/nushell
19,cmderdev,cmder,25100,https://github.com/cmderdev/cmder
