,user,repo,star,link
0,tldraw,tldraw,21000,https://github.com/tldraw/tldraw
1,airbnb,react-sketchapp,15000,https://github.com/airbnb/react-sketchapp
2,gztchan,awesome-design,14900,https://github.com/gztchan/awesome-design
3,casesandberg,react-color,11600,https://github.com/casesandberg/react-color
4,themerdev,themer,5200,https://github.com/themerdev/themer
5,sketchplugins,plugin-directory,3400,https://github.com/sketchplugins/plugin-directory
6,weui,weui-design,2800,https://github.com/weui/weui-design
7,weixin,Miaow,2500,https://github.com/weixin/Miaow
8,mathieudutour,git-sketch-plugin,2500,https://github.com/mathieudutour/git-sketch-plugin
9,matt-curtis,Fluid-for-Sketch,2400,https://github.com/matt-curtis/Fluid-for-Sketch
10,andrewfiorillo,sketch-palettes,2300,https://github.com/andrewfiorillo/sketch-palettes
11,DWilliames,paddy-sketch-plugin,2200,https://github.com/DWilliames/paddy-sketch-plugin
12,ajstarks,svgo,2000,https://github.com/ajstarks/svgo
13,keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
14,html-sketchapp,html-sketchapp,1800,https://github.com/html-sketchapp/html-sketchapp
15,Mukosame,Anime2Sketch,1800,https://github.com/Mukosame/Anime2Sketch
16,dataliterate,data-populator,1700,https://github.com/dataliterate/data-populator
17,kactus-io,kactus,1500,https://github.com/kactus-io/kactus
18,vydd,sketch,1300,https://github.com/vydd/sketch
19,carbon-design-system,carbon-design-kit,1100,https://github.com/carbon-design-system/carbon-design-kit
