,user,repo,star,link
0,zerotier,ZeroTierOne,12100.0,https://github.com/zerotier/ZeroTierOne
1,mininet,mininet,4900.0,https://github.com/mininet/mininet
2,kubeovn,kube-ovn,1700.0,https://github.com/kubeovn/kube-ovn
3,feiskyer,sdn-handbook,1200.0,https://github.com/feiskyer/sdn-handbook
4,sdnds-tw,awesome-sdn,1200.0,https://github.com/sdnds-tw/awesome-sdn
5,ansyun,dpdk-ans,1100.0,https://github.com/ansyun/dpdk-ans
6,tonydeng,sdn-handbook,1100.0,https://github.com/tonydeng/sdn-handbook
7,dec0dOS,zero-ui,,https://github.com/dec0dOS/zero-ui
8,faucetsdn,faucet,,https://github.com/faucetsdn/faucet
9,FabEdge,fabedge,,https://github.com/FabEdge/fabedge
10,faucetsdn,poseidon,,https://github.com/faucetsdn/poseidon
11,bregman-arie,computer-networking,,https://github.com/bregman-arie/computer-networking
12,YanHaoChen,Learning-SDN,,https://github.com/YanHaoChen/Learning-SDN
13,stratum,stratum,,https://github.com/stratum/stratum
14,KatharaFramework,Kathara,,https://github.com/KatharaFramework/Kathara
15,CPqD,ofsoftswitch13,,https://github.com/CPqD/ofsoftswitch13
16,vedetta-com,vedetta,,https://github.com/vedetta-com/vedetta
17,husarnet,husarnet,,https://github.com/husarnet/husarnet
18,knowledgedefinednetworking,a-deep-rl-approach-for-sdn-routing-optimization,,https://github.com/knowledgedefinednetworking/a-deep-rl-approach-for-sdn-routing-optimization
19,smartbgp,yabgp,,https://github.com/smartbgp/yabgp
