,user,repo,star,link
0,macrozheng,mall,70200,https://github.com/macrozheng/mall
1,spring-projects,spring-boot,69500,https://github.com/spring-projects/spring-boot
2,jeecgboot,jeecg-boot,35900,https://github.com/jeecgboot/jeecg-boot
3,xkcoding,spring-boot-demo,30500,https://github.com/xkcoding/spring-boot-demo
4,ityouknow,spring-boot-examples,29400,https://github.com/ityouknow/spring-boot-examples
5,apolloconfig,apollo,28400,https://github.com/apolloconfig/apollo
6,wuyouzhuguli,SpringAll,26200,https://github.com/wuyouzhuguli/SpringAll
7,jhipster,generator-jhipster,20900,https://github.com/jhipster/generator-jhipster
8,elunez,eladmin,20200,https://github.com/elunez/eladmin
9,linlinjava,litemall,18400,https://github.com/linlinjava/litemall
10,yudaocode,SpringBoot-Labs,17500,https://github.com/yudaocode/SpringBoot-Labs
11,forezp,SpringCloudLearning,17500,https://github.com/forezp/SpringCloudLearning
12,dyc87112,SpringBoot-Learning,15400,https://github.com/dyc87112/SpringBoot-Learning
13,chuzhixin,vue-admin-better,15000,https://github.com/chuzhixin/vue-admin-better
14,sqshq,piggymetrics,12600,https://github.com/sqshq/piggymetrics
15,codecentric,spring-boot-admin,11900,https://github.com/codecentric/spring-boot-admin
16,macrozheng,mall-swarm,10700,https://github.com/macrozheng/mall-swarm
17,newbee-ltd,newbee-mall,10400,https://github.com/newbee-ltd/newbee-mall
18,apereo,cas,10300,https://github.com/apereo/cas
19,Netflix,conductor,10300,https://github.com/Netflix/conductor
