,user,repo,star,link
0,storybookjs,storybook,80400.0,https://github.com/storybookjs/storybook
1,nrwl,nx,19400.0,https://github.com/nrwl/nx
2,React95,React95,3000.0,https://github.com/React95/React95
3,diegohaz,arc,2900.0,https://github.com/diegohaz/arc
4,vuesion,vuesion,2700.0,https://github.com/vuesion/vuesion
5,BuilderIO,figma-html,2600.0,https://github.com/BuilderIO/figma-html
6,chromaui,learnstorybook.com,2400.0,https://github.com/chromaui/learnstorybook.com
7,trungk18,jira-clone-angular,2000.0,https://github.com/trungk18/jira-clone-angular
8,AdaptiveConsulting,ReactiveTraderCloud,1800.0,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
9,oblador,loki,1700.0,https://github.com/oblador/loki
10,danilowoz,react-atomic-design,1700.0,https://github.com/danilowoz/react-atomic-design
11,pankod,next-boilerplate,1500.0,https://github.com/pankod/next-boilerplate
12,jj811208,watching-you,1500.0,https://github.com/jj811208/watching-you
13,ifmeorg,ifme,1400.0,https://github.com/ifmeorg/ifme
14,themesberg,flowbite-react,1300.0,https://github.com/themesberg/flowbite-react
15,NiGhTTraX,ts-monorepo,1300.0,https://github.com/NiGhTTraX/ts-monorepo
16,BearStudio,start-ui-web,1200.0,https://github.com/BearStudio/start-ui-web
17,TowhidKashem,snapchat-clone,1000.0,https://github.com/TowhidKashem/snapchat-clone
18,lost-pixel,lost-pixel,1000.0,https://github.com/lost-pixel/lost-pixel
19,vue-play,vue-play,,https://github.com/vue-play/vue-play
