,user,repo,star,link
0,frappe,erpnext,14800.0,https://github.com/frappe/erpnext
1,zammad,zammad,3700.0,https://github.com/zammad/zammad
2,helpyio,helpy,2300.0,https://github.com/helpyio/helpy
3,freescout-helpdesk,freescout,2200.0,https://github.com/freescout-helpdesk/freescout
4,django-helpdesk,django-helpdesk,1400.0,https://github.com/django-helpdesk/django-helpdesk
5,mattmezza,vue-beautiful-chat,1400.0,https://github.com/mattmezza/vue-beautiful-chat
6,BadChoice,handesk,1300.0,https://github.com/BadChoice/handesk
7,espocrm,espocrm,1200.0,https://github.com/espocrm/espocrm
8,polonel,trudesk,1100.0,https://github.com/polonel/trudesk
9,opensupports,opensupports,,https://github.com/opensupports/opensupports
10,bestpractical,rt,,https://github.com/bestpractical/rt
11,rocketshipapps,adblockfast,,https://github.com/rocketshipapps/adblockfast
12,fateshen,iOSDeviceSupport,,https://github.com/fateshen/iOSDeviceSupport
13,devaslanphp,project-management,,https://github.com/devaslanphp/project-management
14,blakmatrix,node-zendesk,,https://github.com/blakmatrix/node-zendesk
15,spatie,laravel-support-bubble,,https://github.com/spatie/laravel-support-bubble
16,slowtec,tokio-modbus,,https://github.com/slowtec/tokio-modbus
17,system76,docs,,https://github.com/system76/docs
18,pranavpandey,dynamic-support,,https://github.com/pranavpandey/dynamic-support
19,ohld,telegram-support-bot,,https://github.com/ohld/telegram-support-bot
