,user,repo,star,link
0,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
1,Alamofire,Alamofire,39800,https://github.com/Alamofire/Alamofire
2,serhii-londar,open-source-mac-os-apps,36900,https://github.com/serhii-londar/open-source-mac-os-apps
3,dkhamsing,open-source-ios-apps,36500,https://github.com/dkhamsing/open-source-ios-apps
4,iina,iina,34500,https://github.com/iina/iina
5,appwrite,appwrite,33200,https://github.com/appwrite/appwrite
6,xitu,gold-miner,32800,https://github.com/xitu/gold-miner
7,shadowsocks,ShadowsocksX-NG,31700,https://github.com/shadowsocks/ShadowsocksX-NG
8,kodecocodes,swift-algorithm-club,28100,https://github.com/kodecocodes/swift-algorithm-club
9,SDWebImage,SDWebImage,24700,https://github.com/SDWebImage/SDWebImage
10,airbnb,lottie-ios,24500,https://github.com/airbnb/lottie-ios
11,matteocrippa,awesome-swift,23700,https://github.com/matteocrippa/awesome-swift
12,ReactiveX,RxSwift,23600,https://github.com/ReactiveX/RxSwift
13,MonitorControl,MonitorControl,23500,https://github.com/MonitorControl/MonitorControl
14,vapor,vapor,23200,https://github.com/vapor/vapor
15,NativeScript,NativeScript,23000,https://github.com/NativeScript/NativeScript
16,SwiftyJSON,SwiftyJSON,22100,https://github.com/SwiftyJSON/SwiftyJSON
17,onevcat,Kingfisher,21600,https://github.com/onevcat/Kingfisher
18,HeroTransitions,Hero,21600,https://github.com/HeroTransitions/Hero
19,ReactiveCocoa,ReactiveCocoa,20000,https://github.com/ReactiveCocoa/ReactiveCocoa
