,user,repo,star,link
0,symfony,symfony,28700,https://github.com/symfony/symfony
1,getgrav,grav,14100,https://github.com/getgrav/grav
2,symfony,console,9600,https://github.com/symfony/console
3,wallabag,wallabag,8900,https://github.com/wallabag/wallabag
4,symfony,http-foundation,8500,https://github.com/symfony/http-foundation
5,symfony,event-dispatcher,8400,https://github.com/symfony/event-dispatcher
6,symfony,finder,8300,https://github.com/symfony/finder
7,api-platform,api-platform,8000,https://github.com/api-platform/api-platform
8,symfony,http-kernel,8000,https://github.com/symfony/http-kernel
9,symfony,polyfill-mbstring,7700,https://github.com/symfony/polyfill-mbstring
10,symfony,routing,7500,https://github.com/symfony/routing
11,Sylius,Sylius,7500,https://github.com/Sylius/Sylius
12,symfony,css-selector,7300,https://github.com/symfony/css-selector
13,symfony,debug,7300,https://github.com/symfony/debug
14,symfony,process,7300,https://github.com/symfony/process
15,symfony,var-dumper,7300,https://github.com/symfony/var-dumper
16,symfony,translation,6500,https://github.com/symfony/translation
17,php-pm,php-pm,6500,https://github.com/php-pm/php-pm
18,pagekit,pagekit,5500,https://github.com/pagekit/pagekit
19,doctrine,DoctrineBundle,4600,https://github.com/doctrine/DoctrineBundle
