,user,repo,star,link
0,DIYgod,RSSHub,26100,https://github.com/DIYgod/RSSHub
1,tqdm,tqdm,25800,https://github.com/tqdm/tqdm
2,python-telegram-bot,python-telegram-bot,23100,https://github.com/python-telegram-bot/python-telegram-bot
3,DrKLO,Telegram,22700,https://github.com/DrKLO/Telegram
4,telegramdesktop,tdesktop,22600,https://github.com/telegramdesktop/tdesktop
5,openimsdk,open-im-server,11900,https://github.com/openimsdk/open-im-server
6,tinode,chat,10800,https://github.com/tinode/chat
7,pppscn,SmsForwarder,10600,https://github.com/pppscn/SmsForwarder
8,lss233,chatgpt-mirai-qq-bot,9400,https://github.com/lss233/chatgpt-mirai-qq-bot
9,LonamiWebs,Telethon,8200,https://github.com/LonamiWebs/Telethon
10,zhukov,webogram,7900,https://github.com/zhukov/webogram
11,yagop,node-telegram-bot-api,7400,https://github.com/yagop/node-telegram-bot-api
12,itgoyo,TelegramGroup,7400,https://github.com/itgoyo/TelegramGroup
13,eternnoir,pyTelegramBotAPI,7200,https://github.com/eternnoir/pyTelegramBotAPI
14,telegraf,telegraf,7000,https://github.com/telegraf/telegraf
15,ramboxapp,community-edition,6300,https://github.com/ramboxapp/community-edition
16,42wim,matterbridge,6000,https://github.com/42wim/matterbridge
17,tdlib,td,5900,https://github.com/tdlib/td
18,dillidon,alerts-and-pickers,5600,https://github.com/dillidon/alerts-and-pickers
19,go-telegram-bot-api,telegram-bot-api,5000,https://github.com/go-telegram-bot-api/telegram-bot-api
