,user,repo,star,link
0,tensorflow,tensorflow,178000,https://github.com/tensorflow/tensorflow
1,huggingface,transformers,112000,https://github.com/huggingface/transformers
2,keras-team,keras,59400,https://github.com/keras-team/keras
3,CorentinJ,Real-Time-Voice-Cloning,46900,https://github.com/CorentinJ/Real-Time-Voice-Cloning
4,aymericdamien,TensorFlow-Examples,43000,https://github.com/aymericdamien/TensorFlow-Examples
5,google-research,bert,35300,https://github.com/google-research/bert
6,xitu,gold-miner,32800,https://github.com/xitu/gold-miner
7,photoprism,photoprism,28700,https://github.com/photoprism/photoprism
8,ray-project,ray,27800,https://github.com/ray-project/ray
9,donnemartin,data-science-ipython-notebooks,25600,https://github.com/donnemartin/data-science-ipython-notebooks
10,ageron,handson-ml,25000,https://github.com/ageron/handson-ml
11,lutzroeder,netron,24100,https://github.com/lutzroeder/netron
12,deezer,spleeter,23500,https://github.com/deezer/spleeter
13,matterport,Mask_RCNN,23500,https://github.com/matterport/Mask_RCNN
14,mozilla,DeepSpeech,23100,https://github.com/mozilla/DeepSpeech
15,MLEveryday,100-Days-Of-ML-Code,20300,https://github.com/MLEveryday/100-Days-Of-ML-Code
16,d2l-ai,d2l-en,19200,https://github.com/d2l-ai/d2l-en
17,Tencent,ncnn,18000,https://github.com/Tencent/ncnn
18,huggingface,datasets,17200,https://github.com/huggingface/datasets
19,instillai,TensorFlow-Course,16400,https://github.com/instillai/TensorFlow-Course
